category,review_full_content_0,review_full_content_1,pos_review_title,pos_review_content,itemnumber,neg_review_content,maker,neg_review_title
"Dog,Food,Dry Food","Our dog LOVES this food! We had been shopping around for the past year or so, going from one food to another when we would find a good price. Always grain free, and never chicken (our dog is allergic to both). We had tried this food in the past, but gone away from it because we moved away from the store we bought it from. Thank goodness for Chewy! Our dog visibly didn't like the last food we tried before this one. She hesitated to come to the bowl, and she reluctantly ate. But she's actually EXCITED about mealtime again! She obviously loves the taste, and I love that it's grain free and not fish! So many companies overcharge for their non-fish options, but not ProPac! We love the ingredients and our dog loves eating it, so it's a winner!",,Best food we've tried in a while!,"Our dog LOVES this food! We had been shopping around for the past year or so, going from one food to another when we would find a good price. Always grain free, and never chicken (our dog is allergic to both). We had tried this food in the past, but gone away from it because we moved away from the store",92647,My dogs like the taste of this food very much but I noticed that they drank more water than usually after meals. It could be higher on salt than other foods.,By Pro Pac,Great taste
"Dog,Food,Dry Food",I was feeding Orijon LG Breed Puppy which I loved at first. Then my seven month old Labrador started loosing weight so I increased the food. She was having horrible  diarrhea and loose stool so I decided to switch to Canidade Pure Grain Free Puppy and poops are not soft or runny anymore. So far the food has been working to help with that issue. I will say she goes poo four times a day now instead of three but I am  feeding her more of this than I was Orijon so what goes in must come out.,,Great for sensitive stomachs,I was feeding Orijon LG Breed Puppy which I loved at first. Then my seven month old Labrador started loosing weight so I increased the food. She was having horrible  diarrhea and loose stool so I decided to switch to Canidade Pure Grain Free Puppy and poops are not soft or runny anymore. So far the food,79982,After having to switch from Blue Wilderness to this my puppy would not eat. Great health benefits but if she won't eat it its not doing her any good.,By CANIDAE,Dog would not eat
"Dog,Food,Dry Food","I have a mix of dogs, all sizes, and until just this last delivery, they could all eat this with the right size kibble, but for some strange reason this delivery has the kibble twice the normal size which means my yorkie can not eat this, but all the other dogs are o.k. with it, can't get an answer as to why??",,Good stuff!,I have been using this food for my 2 1/2 yr. old golden doodle and she is doing very well.  I am so amazed at how only 2 cups of food a day can keep her healthy and strong.  We have had zero issues and she eats it as if it was the first time she got it.,67994,"I have a mix of dogs, all sizes, and until just this last delivery, they could all eat this with the right size kibble, but for some strange reason this delivery has the kibble twice the normal size which means my yorkie can not eat this, but all the other dogs are o.k. with it, can't get an answer as",By Dr. Tim's,"All my dogs have done great, but..."
"Dog,Food,Dry Food","My new puppy didn't like the dog food we first ordered. I had trouble changing the automatic delivery for another large quantity of that dog food. I spoke with customer service, they helped me and made the change to this product that ""Max"" absolutely loves...and it was less expensive. Great products, prices and service. Thank You.",,"Great Products, Prices, and Service","My new puppy didn't like the dog food we first ordered. I had trouble changing the automatic delivery for another large quantity of that dog food. I spoke with customer service, they helped me and made the change to this product that ""Max"" absolutely loves...and it was less expensive. Great products,",100217,"Good quality. Chewy used to be the cheapest place to buy, but now just price shop... it's hit or miss..",By Dog Chow,Quality food.
"Dog,Food,Dry Food","I used to get this food in store, but found it was much cheaper through Chewy. I was skeptical of having dog food delivered, but the order came very quickly, and in good condition, so I ordered again with the same result. My dogs are loving it. Their coat is much shinier, and softer. My mastiff ears have been cleaner, and he has had less soft stool. Great choice for my pups, and great service.","Why is it that all of these products contain chicken, in some way or form. I have a dog who has chicken allergies. While he has no problem eating this, the skin on his chin breaks out in an irritated red rash. We had narrowed down the problem to chicken, through extensive testing, but after extensive reading, I have found a VERY limited number of products that contain no chicken and are grain free. I have made my own food, but that does get pretty old.","Great Food, Fast Delivery","I used to get this food in store, but found it was much cheaper through Chewy. I was skeptical of having dog food delivered, but the order came very quickly, and in good condition, so I ordered again with the same result. My dogs are loving it. Their coat is much shinier, and softer. My mastiff ears ",95679,"Why is it that all of these products contain chicken, in some way or form. I have a dog who has chicken allergies. While he has no problem eating this, the skin on his chin breaks out in an irritated red rash. We had narrowed down the problem to chicken, through extensive testing, but after extensive",By Wellness,"I would give it 5 stars but, ..."
"Dog,Food,Dry Food","Would I recommend this product? I'd have to say try a small bag to see if your dog like it. Mine is very picky. The ingredients are good and I like that they are organic. I believe the product is good quality. It is to bad it does not taste as good.
I was really disappointed that my dog does not like Newman's Own Organic dog food. I was looking for a good food that would help firm up his stool. Newman's dog food did just that but he poked it around all day before he would finally eat it. It got to the point where he would not eat it. So I'm right back where I started with looking for sometime good and that he will eat.",,Excellent quality dog food,There are no questionable ingredients in this food. And the profits of Newman's Own go to charity. My dog loves this food.,48340,"Would I recommend this product? I'd have to say try a small bag to see if your dog like it. Mine is very picky. The ingredients are good and I like that they are organic. I believe the product is good quality. It is to bad it does not taste as good.
I was really disappointed that my dog does not like",By Newman's Own Organics,My dog does not like
"Dog,Food,Dry Food",I can't say enough good things about this dog food. Both my senior dogs - an 11-year-old Rottie and a 15-year-old lab mix - were having some pretty serious digestive issues.  I took my lab mix to the vet who suggested I change the food I was feeding him.  My sister uses Royal Canin for her boxer and recommended that I try the brand. Both my dogs LOVE it.  The digestive issues have all cleared up and their coats look better and both dogs seem to be feeling so much better.  I will never use another brand for these dogs or any other dogs I may have in the future.,"My 10 year old Chocolate Lab, Samuel, seems to like it pretty well. His winter coat is coming in and he is shedding out his summer one. It looks shiny, and is darker then usual. I was told that his nutritional needs are being met better with this food, that is why his coat is changing. We fed him a High Endurance Brand prior to Royal. He gained some weight, and he looks amazing!!!!! I am quite happy and will continue to use this product, and Chewy.com as my supplier.",Great product,I can't say enough good things about this dog food. Both my senior dogs - an 11-year-old Rottie and a 15-year-old lab mix - were having some pretty serious digestive issues.  I took my lab mix to the vet who suggested I change the food I was feeding him.  My sister uses Royal Canin for her boxer and ,63298,"My 10 year old Chocolate Lab, Samuel, seems to like it pretty well. His winter coat is coming in and he is shedding out his summer one. It looks shiny, and is darker then usual. I was told that his nutritional needs are being met better with this food, that is why his coat is changing. We fed him a High",By Royal Canin,Excellent Product
"Dog,Food,Dry Food",,,Absolutely! The proof is in the POOP:),We have a older dog with a lot of food sensitivities. You name it she can't eat it. Including some of the Halo foods. This on the other hand mixed with just a little warm water is a blessing her. She eats it and is able to matabelize it very well. She prefers it wet but can also be served dry.,132984,"Unfortunately, our dog is somewhat choosey about what food he likes. He didn't like the chicken recipe at all.",By Halo,Seems like good food but dog doesn't like it
"Dog,Food,Dry Food","After our vet suggested we try this dog food, we looked for it at our local Petsmart. We had heard great things about Chewy.com. so, we decided to give it a try and sure enough Chewy.com had the dog food. We placed our order, signed up for autoship, and waited. Our 8 year old Chocolate Lab loves it and her coat has even improved while on Eukanuba. We are definitely happy customers not only with the product, but with Chewy.com as well!",,Great for our dogs!,"After our vet suggested we try this dog food, we looked for it at our local Petsmart. We had heard great things about Chewy.com. so, we decided to give it a try and sure enough Chewy.com had the dog food. We placed our order, signed up for autoship, and waited. Our 8 year old Chocolate Lab loves it and",94239,Just switched my do from Eukanuba Excel top Eukanuba Senior. Not sure how he will take to the change.,By Eukanuba,Switched from Eukanuba Excel
"Dog,Food,Dry Food","My Yorkie has been eating this food for a week now!!  She loves it and started eating it right away, no breaking in time at all.  She just went for it and has continued all week.  Her poop is normal and with this food she drinks a lot more water than she did with her recent food. .  Her breath smells good, not as fishy as her other food.  I am happy with this food and I know Salmon is good for her and it is the first ingredient on this Merrick.  Also NO GRAIN.","My dogs are not eating this food as readily as I had hoped they would. I am trying to add 2 new, good ingredient, dog foods to our feeding program. they do like it just not as much as some of their favorites however I love the Merrick Corporation!, everything they make is good, natural, healthy so I'm hoping my dogs will feel the same way",Great Packaging,"My Yorkie has been eating this food for a week now!!  She loves it and started eating it right away, no breaking in time at all.  She just went for it and has continued all week.  Her poop is normal and with this food she drinks a lot more water than she did with her recent food. .  Her breath smells",94164,"My dogs are not eating this food as readily as I had hoped they would. I am trying to add 2 new, good ingredient, dog foods to our feeding program. they do like it just not as much as some of their favorites however I love the Merrick Corporation!, everything they make is good, natural, healthy so I'm",By Merrick,Little plates Merrick small breed dog food
"Dog,Food,Dry Food",,,My frenchbulldog loves this food!,"Im the proud owner of a very picky french bulldog, and he loves this food. It seems to be lighter and crisper than over kibbles weve tried. And after a taste taste of 8 different brands of kibble, this one was the winner. Im very luck to find this brand!",90742,Bertha will eat it but not her favorite. She's a English Bulldog. Hard for her to chew. Going to try a Bulldog dog food.,By Go!,Not for Bertha
"Dog,Food,Dry Food",I had been feeding my dog Fromm for some time and chewy quit carrying it. Thought I was going to have to switch to another site to get it. Chewy offered a really good deal to try some other quality brand. I'm glad I did because now my dog loves Dr. Tim's. I put Fromm in half the bowl and Dr. Tim's in the other half and he only eats the Dr. Tim's. Thank you Chewy for working hard to keep my business. No need to ever change where I buy from. Great customer service !!!,,Dr. Tim's vs Fromm,I had been feeding my dog Fromm for some time and chewy quit carrying it. Thought I was going to have to switch to another site to get it. Chewy offered a really good deal to try some other quality brand. I'm glad I did because now my dog loves Dr. Tim's. I put Fromm in half the bowl and Dr. Tim's in,67997,"The first four ingredients are not what I would consider top of the line. Where is the meat?
Chicken meal, really? There are many other foods on the market at this higher price point which offer more for your money. A breeder recommended this with my pup, but we have transitioned from it.",By Dr. Tim's,Ingredient list not impressive
"Dog,Food,Dry Food",,,DOGS LOVE & so do I lol,"My dogs young and old love this they absolutely lose it when I bring in a new bag they scratch it and smell it.  Then they sit all pretty waiting on me to give them some as if it was dog treats. lol 
I absolutely will not change brands.",100194,"Been using this product for over 30 years, but just recently found that 1 pet is allergic to a product in this formula.",By Dog Chow,this is a great product as long as your pet suffers from no allergies
"Dog,Food,Dry Food",,,Best Dog Food,Have feed our BlueTick the Lamb and Rice for 10 plus years.  We tried once a different brand and she lost all her fur from her hips back.  Went back to and havent changed since.  She loves her food.,97166,"Why oh why would Nutro take a great lamb, chicken free dog food, made for dogs with allergies to chicken, and change the formula to have chicken meal as the first ingredient? Used to be a great food, now I can't buy this for my chicken allergic mini poodle!",By Nutro Max,Nutro's new lamb formula has chicken meal as first ingredient!
"Dog,Food,Dry Food",,,It is Great,"Chewy has made it so easy to shop for my dog. Before I would have to wait till
I could get help getting it in and out of my car.  Now it comes right to the door and even better yet it is cheaper.  I also like being able to shop for little toys and have them delivered.",86779,"I noticed when I opened the bag that there is no tempting aroma. In fact, there's no smell at all. Puppy (8 months old) would rather starve than eat it.",By Nutro,My puppy turns her nose up at it and refuses to eat it
"Dog,Food,Dry Food","I have a white and brown shih tzu yorkie mix her name is Minty, and a bloodhound his name is Rover and a black and white Boston terrier and his name is Spike and a yorkshire terrier her name is Misty and I have a rottweiler his name is Killer and a pug his name is Puggle and a grey and white shih tzu her name is Gracie and a Siberian husky his name is Joli. And all of the dogs I have love this dog food!",,I love this dog food,"I have a white and brown shih tzu yorkie mix her name is Minty, and a bloodhound his name is Rover and a black and white Boston terrier and his name is Spike and a yorkshire terrier her name is Misty and I have a rottweiler his name is Killer and a pug his name is Puggle and a grey and white shih tzu",49737,"My dogs won't eat it, they don't like it. Ugh. It's hard to find a good food they will eat.",By Diamond,Dog Food review
"Dog,Food,Dry Food","Love this food excellent for dogs with allergies! Switched to it after the brand we used was no longer availble. I adopted, a Pit/Staffie, I was fostering for over a year. The food and a brand of treats were provided by former owner. She has allergies or sensitivities to a variety of food. She had issues with itching, losing spots of fur, etc., along with occassional soft stool, more than should be happening. Initially, I changed the treats as they were poultry and she defintely had issue with poultry. That helped, not completely resolved. The fact that the other food was no longer available was a blessing. I spent hours, upon hrs reading ingredients and reviews, checking variety of  sites and so on. Finally decided to give this one a shot. The dog eats so much better something I did notice yet figured she was still getting accustomed to new home. Her coat looks amazing and very little itching, no hair loss, stools are perfect as well. What a difference!","I didnt have a problem with the food as it seems pretty solid nutrition-wise, but both my Boston's had tummy issues with it. Despite weening them off their old food and slowly intro'ing this one, the loose stools and wouldn't quit. I switch foods more than I'd like and this was the first one that they really couldnt get used to. (My boy is super stinking picky and basically hates all dog food..it's a struggle, but I love him so I'm happy to keep trying.) Chewy was amazing and refunded me so I could go ahead and get their old food (Acana) ordered.",True Dog Food Love,"Love this food excellent for dogs with allergies! Switched to it after the brand we used was no longer availble. I adopted, a Pit/Staffie, I was fostering for over a year. The food and a brand of treats were provided by former owner. She has allergies or sensitivities to a variety of food. She had issues",89284,"I didnt have a problem with the food as it seems pretty solid nutrition-wise, but both my Boston's had tummy issues with it. Despite weening them off their old food and slowly intro'ing this one, the loose stools and wouldn't quit. I switch foods more than I'd like and this was the first one that they",By I and Love and You,Didnt work out..
"Dog,Food,Dry Food",,,Dogs Love It,"We feed a combo of wet food for one meal, and this kibble for another.  One bag lasts my two small dogs quite a long time so it's worth it.  I've noticed their coats be shiny and soft, and they seem to be shedding less.  We will be sticking with this food!",87378,I tried it because there wet food is really good but the dry kibble doesn't seem to agree with my four labs to well it makes them use the bathroom with big waste to much they usaly only do #2 twice a day but on this they went as much as 4 times a day !,By Whole Earth Farms,Seems to be ok product
"Dog,Food,Dry Food","In the first bag of this dog food there was a large amount of ""powder"" throughout the entire bag. The powder looked like crushed dog food that you might find in the bottom of the bag. This powder was throughout the entire bag. Literally looked like the bottom of many bags had been dumped into that bag. My dogs ate it but it made me worry about the quality of the food. The second bag had no powder in it anywhere whatsoever.",,Great find,"So happy that I found this. I have a chronic pancreatic dog who has eaten prescription food for years! This had better ingredients, lower fat, and cheaper price! BUT THE BEST PART IS....MY YORKIPOO LOVES IT!!!! It was approved by my vet previous to us trying it. Thanks Eagle Pack!!!!! Thanks CHEWY!",76718,"In the first bag of this dog food there was a large amount of ""powder"" throughout the entire bag. The powder looked like crushed dog food that you might find in the bottom of the bag. This powder was throughout the entire bag. Literally looked like the bottom of many bags had been dumped into that bag",By Eagle Pack,Not sure I'll keep reordering this
"Dog,Food,Dry Food","When we rescued our now 10-year-old boxer-bulldog, her coat was coarse and almost greasy. We read that her breed is prone to hip issues and wanted to find something that would perhaps provide some level of protection against that. Shortly after buying Happy Hips in our local pet store we noticed a significant difference in the quality and texture of her fur, and so far she is having no leg or hip issues; in fact, yesterday she practically danced on her tiptoes like a cat having a play date with a stinkbug. :-) When we realized we could buy a larger bag of food for much less cost through Chewy along with speedy delivery, we were immediately hooked! We love Happy Hips and Chewy!",,The only dog food we will buy,"When we rescued our now 10-year-old boxer-bulldog, her coat was coarse and almost greasy. We read that her breed is prone to hip issues and wanted to find something that would perhaps provide some level of protection against that. Shortly after buying Happy Hips in our local pet store we noticed a significant",57545,My 10 year old mini dachshund has been on Fromm Four Star for a number of years and has always gobbled her food right up. Recently she's seemed less than thrilled with the Fromm. I bought this and started to transition her to it - she did not care for it at all.,By Dogswell,Not for my girl.
"Dog,Food,Dry Food","I have a dog with terrible skin allergies.  He also has seizures.  I have to be very careful with his diet.  It is really difficult to find a food that he likes which has the appropriate ingredients.  This food is a perfect fit.  Not only is it great for him, but really great for all my dogs.  Additionally, the feeding amount required daily is about half of other good foods.  Another awesome fact is there is a fraction of the fecal matter in my yard as when they are eating other dog foods..","I liked the reviews people left for this BUT the dogs DO NOT AGREE with the taste test. I had to put some can on it to get them to eat it and then some would still not eat after refuseing all for 3 days, they reall did not like it. I am going to try another dog food. Iam going to try mixing Kinetic Performance $$ with Orijen Original which is very $$$. i have 8 dogs 80lb -5lb.",Best dog food available. Great manufacturer and great dog food.,"I have a dog with terrible skin allergies.  He also has seizures.  I have to be very careful with his diet.  It is really difficult to find a food that he likes which has the appropriate ingredients.  This food is a perfect fit.  Not only is it great for him, but really great for all my dogs.  Additionally",125776,"I liked the reviews people left for this BUT the dogs DO NOT AGREE with the taste test. I had to put some can on it to get them to eat it and then some would still not eat after refuseing all for 3 days, they reall did not like it. I am going to try another dog food. Iam going to try mixing Kinetic Performance",By Sport Dog Food,Dog don't like
"Dog,Food,Dry Food",,,Great choice,"Our little guy seems to love his food, my Vet told me about this brand and highly recommended it, glad I took his advice, and the best part of all is the price, this was a no brainer!",63378,"Had high expectations since it came with high review from the vet, but sorry to say my puppy shih tzu has not taken to it and not eaten it after several attempts.",By Royal Canin,Not as expected
"Dog,Food,Dry Food",,,Excellent and affordable,"My Dog loves this food. I care about what I give him, but can't afford top shelf food. This is the perfect medium!",94135,Greyhound will not eat this food. Sad to say as it looks like a nice one.,By Merrick,Greyhound will not eat it.
"Dog,Food,Dry Food","My two senior 20-35 lb. dogs love this Canidae Chicken Dry food!  The nuggets are small making it easier to chew.  The flavor must REALLY be good because they waste no time cleaning their bowls.  Since I just started this new diet 2 weeks ago, it's hard to tell if their weight has changed.  I'm definitely sticking with this product.",,Two Paws Up,"My two senior 20-35 lb. dogs love this Canidae Chicken Dry food!  The nuggets are small making it easier to chew.  The flavor must REALLY be good because they waste no time cleaning their bowls.  Since I just started this new diet 2 weeks ago, it's hard to tell if their weight has changed.  I'm definitely",93159,My delivery at the end of August 2017 & the bag of dog food expired June 2016.  This is unacceptable.  Where is the quality control?,By CANIDAE,Selling expired dog food
"Dog,Food,Dry Food",,,Grreat food,My dog Katie had the start of pancreatitis. This food has helped her so much. I did not want to do Science Diet so i did my research and found that Solid Gold Holistique Blendz had such low fat. Katie is doing great thanks to Solid Gold.,84313,Neither of our dogs like this food. Not sure why. Just isn't for us,By Solid Gold,Dogs Do Not Consume
"Dog,Food,Dry Food",Dog loves it. It just didn't love him. It was time for a change (for allergy reasons). He went nuts for the stix treats so we went for it. By the end of the transition Finn was picking out these pieces & leaving his old food. Also eating just dry food without any kind of topper. So I was bummed because it just went right through him after the transition.,,Great Food - Didn't agree with dog.,Dog loves it. It just didn't love him. It was time for a change (for allergy reasons). He went nuts for the stix treats so we went for it. By the end of the transition Finn was picking out these pieces & leaving his old food. Also eating just dry food without any kind of topper. So I was bummed because,114210,"Bought this dog food because the Blue Representative said both puppy and adult can eat this dog food. Great idea! However, both puppy and adult dog dislike the flavors of this dog food. Returned it to the store.",By Blue Buffalo,Puppy/Adult Both Won't Eat
"Dog,Food,Dry Food","After reading all the reviews on pet food, we choose Eagle Brand and our girls love.  I am 64 now and have always had a dog in m life.  Always a friend I could rely on to be there.  Chew was cheaper and fast with service.  Will be a customer from now on.  I really only associate with pet owners. I turned them on the your website.","I tried this food as a switch from Dr Tim's, which my dogs aren't crazy about but are very healthy on it. Within two days on the Eagle Pack Natural my golden mix had chewed all the fur off a toe on one foot and had a raw bare right flank. My golden couldn't stop scratching his ears. I immediate stopped feeding them this food and within days they were on the road to recovery.",Health and happy,"After reading all the reviews on pet food, we choose Eagle Brand and our girls love.  I am 64 now and have always had a dog in m life.  Always a friend I could rely on to be there.  Chew was cheaper and fast with service.  Will be a customer from now on.  I really only associate with pet owners. I turned",76720,"I tried this food as a switch from Dr Tim's, which my dogs aren't crazy about but are very healthy on it. Within two days on the Eagle Pack Natural my golden mix had chewed all the fur off a toe on one foot and had a raw bare right flank. My golden couldn't stop scratching his ears. I immediate stopped",By Eagle Pack,Not good for allergic dogs
"Dog,Food,Dry Food","I switched my dogs from merrick to avoderm to see how they would like it. They seem to really like it. However they eat twice as much food as they did on merrick. Its like this stuff goes right threw them. They also produce a stool more than they did on merrick. So im a bit worried they arent fully getti,g the benefits they need. I have decided im switching them back to merrick bc of this. Plus merrick as more flavor options. Its also worth every penny.",,Great food,"We recently got a puppy that had to be on grain free and poultry free food. so we opted for this food because of how affordable it was compared to other grain free, poultry free food on the market. We have now transitioned our other 2 dogs onto this food as well.",65209,I switched my dogs from merrick to avoderm to see how they would like it. They seem to really like it. However they eat twice as much food as they did on merrick. Its like this stuff goes right threw them. They also produce a stool more than they did on merrick. So im a bit worried they arent fully getti,By AvoDerm,good...but..
"Dog,Food,Dry Food","I have always fed my dogs Iams and they love it! From puppy all the way to Senior!
Currently I have 3 Senior dogs, (ages 10,11,12) three different sizes, and One pup -only five years old.
The large breed is excellent for dogs that need a large kibble but the food is easy to chew if they are missing teeth or teeth are worn down. Even my smaller dogs try to gobble it up! 
Chewy.com has been the greatest thing for me since sliced bread! Fast shipping! Love autoship and great prices! I am surprised at how much time is saved not having to make a trip to my ""Pet"" store!
Thanks Chewy!!",,Big bite senior dog food great!,"I have always fed my dogs Iams and they love it! From puppy all the way to Senior!
Currently I have 3 Senior dogs, (ages 10,11,12) three different sizes, and One pup -only five years old.
The large breed is excellent for dogs that need a large kibble but the food is easy to chew if they are missing",77198,My dog doesn't like this. Will have try another brand in the future.,By Iams,Nope not for my dog
