rating,list_price,weight,lifestage,protein,caloric,size,category,fibre,review_count,ingredients,itemnumber,moisture,madein,price,foodform,brand,fat,breedsize,specialdiet,benefits,product_list,maker,foodtexture
4.9,"
                        $35.88",,"adult, all stages",8.0% min,320 kcal/can,,"Dog,Food,Wet Food",1.0% max,43,"turkey broth, turkey, duck, turkey liver, egg whites, potato starch, sweet potatoes, cranberries, potatoes, carrots, green beans, guar gum, eggs, natural flavor, sodium phosphate, calcium carbonate, potassium chloride, minerals (iron proteinate, zinc proteinate, cobalt proteinate, copper proteinate, manganese proteinate, sodium selenite, potassium iodide), vitamins (vitamin e supplement, vitamin a supplement, thiamine mononitrate, vitamin b-12 supplement, vitamin d-3 supplement, biotin, riboflavin supplement), choline chloride, rosemary, sage, thyme.",49220,82.0% max,,"
                        $33.99",wet food,,4.0% min,"all breeds, small breeds, medium breeds, large breeds",no corn no wheat no soy,"<li>delicious, chunky, slow cooked-classic stew with premium protein from real turkey &amp; duck</li>,<li>slow-cooked to retain natural flavors</li>,<li>vitamins a and e supports healthy eyes</li>,<li>biotin supports the coat and skin</li>,<li>contains no meat byproducts, grains, or fillers</li>","wellness turkey & duck stew with sweet potatoes & cranberries canned dog food,12.5-oz,case of 12",By Wellness,stew
4.9,"
                        $32.18",10.125 pounds,senior,7.5% min,"896 kcal/kg, 345 kcal/can",,"Dog,Food,Wet Food",2.6% max,8,"water sufficient for processing, pork by-products, pork liver, chicken, brewers rice flour, chicken by-products, wheat flour, powdered cellulose, wheat gluten, vegetable oil, dried plain beet pulp, carrageenan, fish oil, carob bean gum, pork plasma, calcium sulfate, calcium carbonate, potassium chloride, taurine, guar gum, vitamins [l-ascorbyl-2-polyphosphate (source of vitamin c), dl-alpha tocopherol acetate (source of vitamin e), niacin supplement, biotin, d-calcium pantothenate, thiamine mononitrate (vitamin b1), riboflavin supplement, pyridoxine hydrochloride (vitamin b6), folic acid, vitamin b12 supplement, vitamin d3 supplement], lecithin, natural flavors, sodium silico aluminate, l-carnitine, glycine, trace minerals [zinc oxide, ferrous sulfate, zinc proteinate, copper sulfate, manganous oxide, sodium selenite, calcium iodate], marigold extract (tagetes erecta l.)",99654,78.5% max,united states,"
                        $27.44",wet food,royal canin size health nutrition,2.0% min,"small breeds, medium breeds, large breeds, all breeds",,"<li>made for senior dogs over 5 years</li>,<li>fish oil and b vitamins support skin and coat health</li>,<li>helps stimulate fussy appetites</li>,<li>highly palatable loaf-style meal in sauce</li>,<li>100% complete and balanced diet</li>","royal canin mature adult in gel canned dog food,13.5-oz,case of 12",By Royal Canin,pate
4.9,"
                        $35.76",,adult,8.0% min,81 kcal/container,,"Dog,Food,Wet Food",1.0% max,23,"chicken broth, chicken, dried egg product, tapioca starch, pea protein, beef, carrots, red peppers, chicken liver, natural flavor, tricalcium phosphate, salt, potassium chloride, guar gum, calcium sulfate, magnesium sulfate, minerals [ferrous glycine complex, zinc glycine complex, manganese glycine complex, copper glycine complex, sodium selenite, potassium iodide], vitamins [vitamin e supplement, niacin, vitamin a supplement, pyridoxine hydrochloride, d-calcium pantothenate, riboflavin supplement, folic acid, vitamin b12 supplement, vitamin d3 supplement, biotin], thiamine mononitrate, zinc oxide.",76677,82.0% max,,"
                        $33.99",wet food,,2.0% min,"small breeds, extra small & toy breeds",grain-free,"<li>specially formulated to naturally meet the unique needs of small breed dogs</li>,<li>delicious mini-filets using quality ingredients like roasted beef, carrots &amp; red peppers in gravy</li>,<li>contains only premium, all natural ingredients with no wheat, meat by-products, soy or artificial colors and flavors</li>,<li>convenient, easy-open, ready-to-serve container makes mealtime quick and easy</li>,<li>complete and balanced for everyday feeding</li>","wellness petite entrees mini-filets with roasted beef,carrots & red peppers in gravy grain-free wet dog food,3-oz,case of 24",By Wellness,chunks in gravy
4.9,"
                        $23.88",9.4 pounds,senior,6.8% min,"984 kcal/kg, 349 kcal/can",,"Dog,Food,Wet Food",3.0% max,32,"turkey broth, turkey, chicken, beef liver, chicken liver, rice bran, ground rice, peas, guar gum, dried potatoes, dried carrots, brewers dried yeast, carrageenan, potassium chloride, calcium carbonate, ferrous sulfate, sunflower oil (preserved with mixed tocopherols), thiamine mononitrate (vitamin b1), dl-methionine, choline chloride, ascorbic acid, zinc oxide, vitamin e supplement, , copper proteinate, manganese sulfate, sodium selenite, potassium iodine, biotin, vitamin a supplement, vitamin d3 supplement, vitamin b12 supplement, riboflavin supplement (vitamin b2)",86736,78.0% max,united states,"
                        $21.48",wet food,,4.5% min,"all breeds, small breeds, medium breeds, large breeds",,"<li>promotes healthy skin and a soft, shiny coat to keep your pet looking and feeling robust.</li>,<li>natural dog food offers complete nutrition that is rich in nutrients and full of flavor.</li>,<li>specially crafted to help support healthy digestion so to promote optimal nutrient absorption.</li>,<li>natural ingredients are carefully sourced from their trusted network of farmers and suppliers.</li>,<li>made in the usa with no chicken by-product meal, soy or artificial flavors or preservatives.</li>","nutro adult kitchen classics family dinner with turkey,rice & vegetables canned dog food,12.5-oz,case of 12",By Nutro,pate
4.9,,9.75 pounds,"all stages, adult",12.0% min,"old formulation: 1,330 kcal/kg, 490 kcal/can",,"Dog,Food,Wet Food",1.0% max,22,"old formulation: chicken, chicken liver, chicken broth, chicken meal, whitefish, ground flaxseed, cassia gum, xanthan gum, potassium chloride, salt, apple powder, cranberry powder, pumpkin powder, canola oil, chicory root extract, choline chloride, zinc proteinate, iron proteinate, blueberry powder, papaya powder, pomegranate powder, thiamine mononitrate, magnesium stearate, vitamin e supplement, peppermint leaf powder, cinnamon, fennel powder, copper proteinate, manganese proteinate, sodium selenite, cobalt proteinate, niacin, d-calcium pantothenate, vitamin a supplement, riboflavin supplement, biotin, vitamin b12 supplement, potassium iodide, pyridoxine hydrochloride, vitamin d3 supplement, folic acid.",76631,78.0% max,united states,"
                        $34.99",wet food,,6.0% min,"all breeds, small breeds, medium breeds, large breeds","sensitive digestion, grain-free, no corn no wheat no soy","<li>the unique grain-free can recipes provide prebiotic support and feature botanicals such as pumpkin, papaya and pomegranate</li>,<li>features omega 3 fatty acids from flaxseed to help promote a shiny and healthy skin &amp; coat</li>,<li>the botanicals, herbs and premium proteins that are used help deliver optimum, natural nutrition for daily whole-body health</li>,<li>contains chicory root extract to support healthy digestion</li>,<li>made without grains, wheat, soy, corn, artificial colors, flavors or preservatives</li>","holistic select chicken pate recipe grain-free canned dog food,13-oz,case of 12",By Holistic Select,pate
,,63.49 pounds,"all stages, adult",8.5% min,"750 kcal/kg, 282 kcal/can",,"Dog,Food,Wet Food",1.0% max,,"sufficient water for processing, chicken (source of linoleic acid), meat by-products, beef, wheat flour, wheat gluten, salt, sodium tripolyphosphate, dried peas, dehydrated carrots, natural flavor, guar gum, minerals (potassium chloride, magnesium proteinate, zinc sulfate, potassium iodide, copper proteinate, manganese sulfate, copper sulfate), dehydrated potatoes, added color, natural porterhouse steak flavor, natural smoke flavor, xanthan gum, vitamins (choline chloride, vitamin e supplement, d-calcium pantothenate, biotin, thiamine mononitrate [vitamin b1], vitamin a supplement, vitamin d3 supplement), sodium nitrite (for color retention).",114316,82.0% max,united states,"
                        $11.76",wet food,,3.0% min,"all breeds, small breeds, medium breeds, large breeds",,"<li>features hearty cuts of real meat in gravy for an irresistible taste of steak and vegetables.</li>,<li>balanced recipe provides complete nutrition and is highly digestible for easy nutrient absorption.</li>,<li>optimal levels of oil and minerals nourish the skin and coat for a luxurious shine.</li>,<li>soft texture adds flavor and variety to dog’s diets. serve it alone or mix it with kibble.</li>,<li>proudly made in the usa with the flavors dogs crave and the nutrition they need.</li>","pedigree choice cuts in gravy steak & vegetable flavor canned dog food,13.2-oz,case of 12",By Pedigree,chunks in gravy
4.6,"
                        $28.85",9.6 pounds,"adult, all stages",8.0% min,"337 kcal/can, 93 kcal/100g",,"Dog,Food,Wet Food",1.5% max,28,"lamb, water sufficient for processing, liver, rice, spinach, kale, guar gum, minerals (calcium carbonate, zinc sulfate, ferrous sulfate, zinc proteinate, copper sulfate, potassium iodide, copper proteinate, manganese sulfate, selenium yeast, manganese proteinate), vitamins (vitamin e supplement, niacinamide, l-ascorbyl-2-polyphosphate, calcium pantothenate, thiamine mononitrate, vitamin a acetate, folic acid, riboflavin, biotin, pyridoxine hydrochloride, vitamin b12 supplement, vitamin d3 supplement).",47331,78.0% max,united states,"
                        $26.33",wet food,,6.0% min,"all breeds, small breeds, medium breeds, large breeds","high-protein, no corn no wheat no soy","<li>evanger's lamb &amp; rice dinner is formulated to meet the nutritional levels established by the aafco nutrient profiles for all life stages.</li>,<li>this product is certified organic by oregon tilth. this ensures that your pet is getting a quality food that is made with all natural ingredients.</li>,<li>not only does this product offer your pet a variety in taste, this gourmet dinner offers the additional nutritional benefits your pet needs. natural vitamins and minerals are blended with the all-natural meats for ultimate nutrition that are completely balanced meals for all life stages, ages, and breeds.</li>,<li>evanger’s cans are packed with natural, raw ingredients in their own natural juices. the ingredients are then cooked entirely inside the sealed can to lock in the nutrients and flavor of each variety. this process assures both wholesome nutrition for long life and good health, plus the great taste your dog and cat will love. naturally the best!</li>,<li>all evanger’s foods are made with premium-quality, highly-palatable and nutritious ingredients that will satisfy even the most finicky eater. with no soy, corn, wheat, artificial ingredients, harmful additives, preservatives or by-products, evanger’s canned meals are a perfect option for pets that have food sensitivities.</li>","evanger's super premium lamb & rice dinner canned dog food,12.8-oz,case of 12",By Evanger's,pate
5,,2.625 pounds,"adult, all stages",9.0% min,"1,208 kcal/kg, 120 kcal/bowl",,"Dog,Food,Wet Food",1.5% max,3,"chicken, chicken broth, chicken liver, potatoes, flaxseed, carrageenan, guar gum, natural flavor, salt, cassia gum, potassium chloride, zinc amino acid chelate, iron amino acid chelate, choline chloride, vitamin e supplement, copper amino acid chelate, manganese amino acid chelate, sodium selenite, thiamine mononitrate (vitamin b1), cobalt amino acid chelate, niacin supplement (vitamin b3), calcium pantothenate (vitamin b5), vitamin a supplement, riboflavin supplement (vitamin b2), biotin (vitamin b7), vitamin b12 supplement, potassium iodide, pyridoxine hydrochloride (vitamin b6), vitamin d3 supplement, folic acid (vitamin b9).",114237,78.0% max,united states,"
                        $16.99",wet food,blue wilderness,7.0% min,"all breeds, small breeds, medium breeds, large breeds","grain-free, no corn no wheat no soy, high-protein","<li>tasty and natural grain-free food is packed with protein and comes in easy-to-serve trays. </li>,<li>real, deboned chicken is the first ingredient with added vitamins and minerals.</li>,<li>inspired by the diet of wolves, who are true omnivores with legendary endurance. </li>,<li>made in the usa with only real ingredients and never any chicken or poultry by-product meals. </li>,<li>great for allergies with no grains, corn, wheat or soy or artificial preservatives, colors or flavors.</li>","blue buffalo wilderness trail trays chicken grill formula grain-free dog food trays,3.5-oz,case of 12",By Blue Buffalo,pate
4.7,,,adult,8.0% min,"941 kcal/kg, 346 kcal/can",,"Dog,Food,Wet Food",1.0% max,27,"water sufficient for processing, lamb, lamb liver, beef, beef liver, salmon, dried egg product, peas, potato starch, sweet potatoes, carrots, red peppers, guar gum, natural flavor, sodium phosphate, shrimp meal (source of glucosamine), canola oil (preserved with mixed tocopherols), spinach, garlic powder, flaxseed oil, squash, cranberries, blueberries, zucchini, potassium chloride, tricalcium phosphate, chondroitin sulfate, taurine, iron amino acid chelate, vitamin e supplement, zinc amino acid chelate, choline chloride, cobalt amino acid chelate, copper amino acid chelate, manganese amino acid chelate, riboflavin supplement, sodium selenite, thiamine mononitrate, vitamin a supplement, vitamin b-12 supplement, potassium iodide, biotin, vitamin d-3 supplement, glucosamine hydrochloride.",47140,82.0% max,united states,"
                        $26.99",wet food,,4.0% min,"all breeds, small breeds, medium breeds, large breeds","no corn no wheat no soy, grain-free","<li>chunks of premium lamb with antioxidant-rich fruits and veggies in a delicious sweet potato stew</li>,<li>made with antioxidant-rich fruits &amp; veggies to support overall health and wellness</li>,<li>features glucosamine and chondroitin to help maintain hip and joint health</li>,<li>made without any grains, corn, wheat, soy, artificial colors, flavors or preservatives</li>,<li>chelated minerals for better nutrient absorption</li>","dogswell happy hips lamb & sweet potato stew recipe grain-free canned dog food,13-oz,case of 12",By Dogswell,stew
4.5,"
                        $15.68",3.5 pounds,senior,8.0% min,"765 kcal/kg, 76 kcal/pouch",,"Dog,Food,Wet Food",1.5% max,6,"sufficient water for processing, chicken, meat by-products, wheat gluten, rice, animal plasma, pork liver, corn starch, wheat flour, fish oil (source of omega fatty acids), salt, minerals (potassium chloride, magnesium proteinate, zinc sulfate, copper proteinate, manganese sulfate, copper sulfate, potassium iodide), dried tomato pomace, sodium tripolyphosphate, added color, xanthan gum, vitamins (choline chloride, vitamin e supplement, biotin, d-calcium pantothenate, thiamine mononitrate [vitamin b1], vitamin a supplement, vitamin d3 supplement), guar gum, natural flavor, iron oxide.",114308,82.0% max,united states,"
                        $7.59",wet food,,2.5% min,"all breeds, small breeds, medium breeds, large breeds",,"<li>formulated especially for senor dogs to promote healthy joints and mobility.</li>,<li>features juicy, meaty bites soaked in gravy and provides a soft texture for flavor and variety.</li>,<li>great to use as a treat, as a kibble topper for added flavor, or as a complete meal.</li>,<li>optimal levels of oil and minerals nourish the skin and coat for a luxurious shine.</li>,<li>proudly made in the usa with the flavors dogs crave and the nutrition they need.</li>","pedigree choice cuts senior morsels in sauce with chicken & rice wet dog food,3.5-oz,case of 16",By Pedigree,chunks in gravy
5,"
                        $18.00",,adult,8.0% min,"823 kcal/kg, 82 kcal/tray",,"Dog,Food,Wet Food",1.0% max,11,"sufficient water for processing, beef by-products, liver, meat by-products, beef, chicken, chicken by-products, calcium carbonate, added color, natural flavors, sodium tripolyphosphate, carrageenan, dried yam, xanthan gum, potassium chloride, salt, erythorbic acid, porterhouse steak flavor, guar gum, zinc sulfate, sodium nitrite (for color retention), vitamin a, d3, and e supplements, d-calcium pantothenate, thiamine mononitrate (vitamin b1).",47085,82.0% max,,"
                        $16.80",wet food,,3.5% min,"all breeds, small breeds, medium breeds, large breeds",,"<li>high quality cuisine that provides unparalleled variety and enjoyment</li>,<li>formula provides complete and balanced nutrition in a pate formulated for adult dogs</li>,<li>fortified with vitamins and minerals to help dogs of all sizes to stay healthy</li>,<li>savory dog food is served in convenient trays with easy, peel-away freshness seals</li>,<li>features delectable delicious steak flavor for dogs with refined tastes at any time of day</li>","cesar classics pate porterhouse steak flavor dog food trays,3.5-oz,case of 24",By Cesar,pate
