rating,list_price,weight,brand,lifestage,itemnumber,specialdiet,product_list,foodform,breedsize,review_count,price,madein,company,foodtexture
5,,2.625 pounds,blue wilderness,"adult, all stages",114237,"grain-free, no corn no wheat no soy, high-protein","blue buffalo wilderness trail trays chicken grill formula grain-free dog food trays,3.5-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",3,"
                        $16.99",united states,lue Buffalo,pate
4.7,,,,adult,47140,"no corn no wheat no soy, grain-free","dogswell happy hips lamb & sweet potato stew recipe grain-free canned dog food,13-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",27,"
                        $26.99",united states,Dogswell,stew
4.5,"
                        $15.68",3.5 pounds,,senior,114308,,"pedigree choice cuts senior morsels in sauce with chicken & rice wet dog food,3.5-oz,case of 16",wet food,"all breeds, small breeds, medium breeds, large breeds",6,"
                        $7.59",united states,Pedigree,chunks in gravy
5,"
                        $18.00",,,adult,47085,,"cesar classics pate porterhouse steak flavor dog food trays,3.5-oz,case of 24",wet food,"all breeds, small breeds, medium breeds, large breeds",11,"
                        $16.80",,Cesar,pate
4.2,"
                        $19.08",2.63 pounds,,adult,133606,,"hill's science diet adult small & toy breed savory chicken & vegetable stew dog food trays,3.5-oz,case of 12",wet food,"extra small & toy breeds, small breeds",5,"
                        $15.65",united states,Hill's Science Diet,stew
4.7,"
                        $33.14",,,"adult, all stages",94110,"grain-free, gluten free, no corn no wheat no soy","nature's logic canine turkey feast grain-free canned dog food,13.2 oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",17,"
                        $31.44",united states,Nature's Logic,minced
4.9,"
                        $34.68",,,"all stages, adult",76751,grain-free,"nulo freestyle salmon & chickpeas recipe grain-free canned dog food,13-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",11,"
                        $29.88",united states,Nulo,pate
4.8,"
                        $30.89",,vets choice,"adult, all stages",71311,"limited ingredient diet, grain-free, gluten free, no corn no wheat no soy",health extension meaty mix beef grain-free canned dog food,wet food,"all breeds, small breeds, medium breeds, large breeds",17,"
                        $28.68",united states,Health Extension,pate
4.6,"
                        $32.99",,,"adult, all stages",59976,"sensitive digestion, organic, grain-free",newman's own organics grain-free 95% chicken dinner canned dog food,wet food,"all breeds, small breeds, medium breeds, large breeds",40,"
                        $30.99",united states,Newman's Own Organics,pate
4.7,"
                        $51.48",,,"adult, all stages",55600,"gmo-free, grain-free","weruva bed & breakfast with chicken,egg,& pumpkin in gravy grain-free canned dog food",wet food,"all breeds, small breeds, medium breeds, large breeds",27,"
                        $42.95",,Weruva,chunks in gravy
4.7,"
                        $22.68",9.9 pounds,,adult,121994,,"eukanuba adult lamb & rice formula canned dog food,13.2-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",13,"
                        $20.49",united states,Eukanuba,minced
4.8,,9.4 pounds,,puppy,86753,,"nutro large breed puppy tender lamb recipe bites in gravy canned dog food,12.5-oz,case of 12",wet food,"large breeds, giant breeds",20,"
                        $23.88",united states,Nutro,chunks in gravy
4.4,"
                        $29.88",,,"adult, all stages",48027,,"natural balance original ultra premium whole body health chicken,salmon & duck formula canned dog food,13-oz,case of 12",wet food,"small breeds, medium breeds, large breeds, all breeds",29,"
                        $23.59",united states,Natural Balance,pate
5,"
                        $19.08",2.63 pounds,,adult,133608,,"hill's science diet adult small & toy breed savory beef & vegetable stew dog food trays,3.5-oz,case of 12",wet food,"extra small & toy breeds, small breeds",1,"
                        $15.65",united states,Hill's Science Diet,stew
4.8,,4.95 pounds,nature's variety,"all stages, adult",120825,"no corn no wheat no soy, sensitive digestion, limited ingredient diet, grain-free, gluten free",instinct by nature's variety limited ingredient diet grain-free lamb formula canned dog food,wet food,"small breeds, medium breeds, large breeds, all breeds",30,"
                        $28.08",united states,Instinct,pate
4.9,"
                        $38.28",,organix,"all stages, adult",54990,"gmo-free, grain-free, organic","castor & pollux organix grain-free organic turkey & vegetable recipe adult canned dog food,12.7-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",9,"
                        $30.50",united states,Castor & Pollux,pate
4.7,,,,"adult, all stages",47193,,"eagle pack chicken formula canned dog food,13.2-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",20,"
                        $24.99",united states,Eagle Pack,pate
5,"
                        $11.43",3.17 ounces,purina,"adult, all stages",110767,,"purina bella chicken & smoked bacon flavors small breed dog food trays,3.5-oz,case of 12",wet food,"extra small & toy breeds, small breeds",5,"
                        $10.80",united states,Purina Bella,pate
5,"
                        $30.99",,hill's,"adult, senior",109444,,"hill's science diet adult 7+ youthful vitality chicken & vegetable stew canned dog food,12.5-oz,case of 12",wet food,"small breeds, all breeds, medium breeds, large breeds",4,"
                        $25.41",united states,Hill's Science Diet,stew
4.9,,,,"adult, all stages",93280,"no corn no wheat no soy, grain-free","party animal cocolicious 95% wholesome lamb grain-free canned dog food,12.8-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",7,"
                        $34.68",united states,Party Animal,pate
4.7,"
                        $33.36",5.3 pounds,,puppy,86739,,"nutro puppy tender beef & vegetable recipe bites in gravy dog food trays,3.5-oz,case of 24",wet food,"all breeds, small breeds, medium breeds, large breeds",17,"
                        $30.02",united states,Nutro,stew
5,"
                        $35.88",9.525 pounds,,"adult, all stages",129172,grain-free,"merrick seasonals howl o’ ween stew grain-free canned dog food,12.7-oz,case of 12",wet food,"small breeds, medium breeds, large breeds, all breeds",3,"
                        $31.44",united states,Merrick,stew
4.4,"
                        $23.88",9.4 pounds,,adult,86734,,"nutro adult kitchen classics steamed fish & sweet potato dinner canned dog food,12.5-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",18,"
                        $21.48",united states,Nutro,pate
4.3,"
                        $25.89",,,"adult, all stages",47191,,"eagle pack lamb formula canned dog food,13.2-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",26,"
                        $24.99",united states,Eagle Pack,pate
4.8,,1.75 pounds,,"all stages, adult",123263,,"pedigree chopped ground dinner variety pack featuring bacon wet dog food,3.5-oz,case of 8",wet food,"all breeds, small breeds, medium breeds, large breeds",4,"
                        $4.93",united states,Pedigree,minced
5,,11.73 pounds,purina,"adult, all stages",135640,"no corn no wheat no soy, grain-free","purina one smartblend true instinct classic ground with real beef & wild-caught salmon dog food,13-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",2,"
                        $15.79",,Purina ONE,minced
5,"
                        $21.48",2.0 pounds,,adult,117163,"grain-free, no corn no wheat no soy, gluten free",merrick lil' plates grain-free surfin' & turfin' supper in gravy dog food trays,wet food,"extra small & toy breeds, small breeds",3,"
                        $18.72",united states,Merrick,stew
4.5,,,,"adult, all stages",47330,"no corn no wheat no soy, gluten free, grain-free","evanger's grain-free hand packed roasted whole chicken drummets dinner canned dog food,12-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",48,"
                        $38.75",united states,Evanger's,chunks in gravy
5,"
                        $21.94",9.9 pounds,purina,"adult, all stages",100052,,"alpo prime cuts with beef,bacon & cheese in gravy canned dog food,13.2-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",3,"
                        $10.92",united states,ALPO,chunks in gravy
5,"
                        $22.76",,purina,adult,102385,,"purina one smartblend true instinct tender cuts in gravy with real turkey & venison canned dog food,13-oz,case of 12",wet food,"small breeds, medium breeds, large breeds, all breeds",7,"
                        $20.99",united states,Purina ONE,chunks in gravy
4.9,"
                        $33.48",,blue freedom,adult,75709,"grain-free, no corn no wheat no soy, gluten free","blue buffalo freedom grillers hearty turkey dinner grain-free canned dog food,12.5-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",10,"
                        $27.99",united states,lue Buffalo,chunks in gravy
4.7,"
                        $35.88",,blue life protection,adult,84988,"no corn no wheat no soy, grain-free","blue buffalo family favorite grain-free recipes mom's chicken pie canned dog food,12.5-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",10,"
                        $28.99",united states,lue Buffalo,stew
4.2,"
                        $21.48",,,adult,98915,"grain-free, gluten free, no corn no wheat no soy","merrick lil' plates grain-free teensy turducken in gravy dog food trays,3.5-oz,case of 12",wet food,"extra small & toy breeds, small breeds",4,"
                        $18.72",united states,Merrick,stew
4.2,"
                        $36.82",,,senior,59586,,"nature's recipe senior lamb & rice recipe cuts in gravy stew canned dog food,13.2-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",28,"
                        $21.99",united states,Nature's Recipe,stew
4.8,"
                        $18.00",,,adult,47086,,"cesar classics pate t-bone steak flavor dog food trays,3.5-oz,case of 24",wet food,"all breeds, small breeds, medium breeds, large breeds",13,"
                        $16.80",,Cesar,pate
5,"
                        $15.68",3.5 pounds,,puppy,114297,,"pedigree choice cuts puppy morsels in sauce with chicken wet dog food,3.5-oz,case of 16",wet food,"all breeds, small breeds, medium breeds, large breeds",5,"
                        $9.49",united states,Pedigree,chunks in gravy
4.5,"
                        $23.88",,,puppy,73947,"grain-free, no corn no wheat no soy","whole earth farms grain-free puppy recipe canned dog food,12.7-oz,case of 12",wet food,"small breeds, medium breeds, large breeds, all breeds",36,"
                        $21.24",united states,Whole Earth Farms,pate
4.7,"
                        $47.76",,blue wilderness,adult,84984,"high-protein, grain-free, no corn no wheat no soy","blue buffalo wilderness small breed turkey & chicken grill grain-free canned dog food,5.5-oz,case of 24",wet food,"extra small & toy breeds, small breeds",22,"
                        $39.99",united states,lue Buffalo,pate
4.6,"
                        $35.88",,blue life protection,adult,85002,"no corn no wheat no soy, grain-free","blue buffalo family favorite grain-free recipes turducken canned dog food,12.5-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",19,"
                        $28.99",united states,lue Buffalo,stew
4.6,"
                        $21.48",,,adult,98909,"grain-free, no corn no wheat no soy, gluten free","merrick lil' plates grain-free petite pot pie in gravy dog food trays,3.5-oz,case of 12",wet food,"extra small & toy breeds, small breeds",18,"
                        $18.72",united states,Merrick,stew
4.7,"
                        $32.63",9.6 pounds,,"all stages, adult",60001,"no corn no wheat no soy, organic, gluten free, grain-free","evanger's organics cooked chicken grain-free canned dog food,12.8-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",49,"
                        $29.61",united states,Evanger's,pate
4.7,"
                        $20.38",,,puppy,59828,,"iams proactive health puppy with chicken & rice pate canned dog food,13-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",14,"
                        $18.48",,Iams,pate
4.7,,11.25 pounds,,"all stages, adult",136550,"gluten free, no corn no wheat no soy","dave's pet food restricted bland chicken & rice canned dog food,13-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",24,"
                        $24.99",united states,Dave's Pet Food,pate
4.8,"
                        $24.99",4.0 pounds,blue wilderness,"adult, all stages",114253,"grain-free, no corn no wheat no soy, high-protein","blue buffalo wilderness trail tubs red meat stew grain-free dog food trays,8-oz,case of 8",wet food,"all breeds, small breeds, medium breeds, large breeds",6,"
                        $19.99",united states,lue Buffalo,stew
3.9,"
                        $35.88",,,"all stages, adult",77028,"grain-free, no corn no wheat no soy","merrick seasonal grain-free star spangled supper recipe canned dog food,12.7-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",7,"
                        $29.68",united states,Merrick,stew
4.9,"
                        $34.68",,,"all stages, adult",76745,grain-free,"nulo freestyle turkey & sweet potato recipe grain-free canned dog food,13-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",10,"
                        $29.88",united states,Nulo,pate
4.4,"
                        $35.88",,wellness core,adult,95667,grain-free,"wellness core hearty cuts in gravy chicken & turkey recipe grain-free canned dog food,12.5-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",15,"
                        $33.99",,Wellness,chunks in gravy
4.3,,9.375 pounds,science diet,"adult, all stages",122115,prescription food,"hill's prescription diet k/d kidney care + mobility care with chicken & vegetable stew canned dog food,12.5-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",6,"
                        $42.99",united states,Hill's Prescription Diet,stew
4.1,,16.5 pounds,,"all stages, adult",114241,,pedigree choice cuts in gravy with chicken & rice canned dog food,wet food,"all breeds, small breeds, medium breeds, large breeds",7,"
                        $15.85",united states,Pedigree,chunks in gravy
4.8,"
                        $29.88",,,"adult, all stages",47025,no corn no wheat no soy,"canidae life stages lamb & rice formula canned dog food,13-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",16,"
                        $24.99",united states,CANIDAE,pate
4.3,"
                        $49.42",,wellness complete health,"adult, all stages",102009,no corn no wheat no soy,"wellness complete health poultry lovers variety pack canned dog food,12.5-oz,case of 18",wet food,"all breeds, small breeds, medium breeds, large breeds",12,"
                        $46.95",,Wellness,pate
4.7,,,,"adult, all stages",47327,"no corn no wheat no soy, grain-free, gluten free","evanger's grain-free hand packed hunk of beef canned dog food,12-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",83,"
                        $38.75",united states,Evanger's,chunks in gravy
4.5,"
                        $35.88",,,"adult, all stages",86953,"high-protein, no corn no wheat no soy, grain-free, gluten free","merrick backcountry grain-free hearty salmon stew canned dog food,12.7-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",22,"
                        $31.44",united states,Merrick,stew
4.9,"
                        $18.00",,,adult,86059,,"cesar savory delights pork tenderloin dog food trays,3.5-oz,case of 24",wet food,"all breeds, small breeds, medium breeds, large breeds",11,"
                        $16.80",,Cesar,pate
5,"
                        $35.76",,,adult,76681,grain-free,"wellness petite entrees casserole with tender chicken,green beans & carrots grain-free wet dog food,3-oz,case of 24",wet food,"small breeds, extra small & toy breeds",26,"
                        $33.99",,Wellness,minced
4.9,"
                        $49.16",,tripett,"adult, all stages",59464,"sensitive digestion, limited ingredient diet, grain-free, gluten free",petkind tripett new zealand green lamb tripe grain-free canned dog food,wet food,"all breeds, small breeds, medium breeds, large breeds",57,"
                        $39.48",united states,PetKind,pate
4.7,"
                        $31.08",,blue basics,adult,51931,"sensitive digestion, limited ingredient diet, no corn no wheat no soy, grain-free","blue buffalo basics limited ingredient grain-free turkey & potato recipe large breed canned dog food,12.5-oz,case of 12",wet food,"large breeds, giant breeds",15,"
                        $25.75",united states,lue Buffalo,pate
5,"
                        $9.59",4.6875 pounds,,adult,109435,no corn no wheat no soy,"nutro max adult chicken,rice and turkey,beef and rice canned dog food variety pack,12.5-oz,case of 6",wet food,"all breeds, small breeds, medium breeds, large breeds",3,"
                        $8.63",united states,Nutro,chunks in gravy
4.5,"
                        $35.88",,,"adult, all stages",51418,"grain-free, no corn no wheat no soy, gluten free","canidae grain-free pure sea salmon & mackerel formula canned dog food,13-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",51,"
                        $23.33",united states,CANIDAE,pate
4.5,"
                        $6.99",1.0 pounds,blue earth's essentials,adult,122556,no corn no wheat no soy,"blue buffalo earth's essentials harvest table chicken & quinoa recipe dog food roll,1-lb roll",wet food,"all breeds, small breeds, medium breeds, large breeds",2,"
                        $6.11",,lue Buffalo,pate
4.6,"
                        $35.88",,natural ultramix,adult,65670,"grain-free, no corn no wheat no soy","castor & pollux natural ultramix whole chicken thigh,fresh cut carrots & sweet potatoes entree grain-free adult canned dog food,13.2-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",39,"
                        $34.05",united states,Castor & Pollux,stew
4.9,"
                        $18.00",,,adult,86037,,"cesar home delights  hearty chicken noodle dog food trays,3.5-oz,case of 24",wet food,"all breeds, small breeds, medium breeds, large breeds",14,"
                        $16.80",,Cesar,chunks in gravy
4.5,"
                        $35.88",,,"adult, all stages",49224,no corn no wheat no soy,"wellness venison & salmon stew with potatoes & carrots canned dog food,12.5-oz,case of 12",wet food,"small breeds, medium breeds, large breeds, all breeds",36,"
                        $33.99",,Wellness,stew
4.6,"
                        $35.88",,,"adult, all stages",94153,"sensitive digestion, gluten free, limited ingredient diet, no corn no wheat no soy, grain-free","merrick limited ingredient diet grain-free real chicken stew canned dog food,12.7-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",12,"
                        $31.44",united states,Merrick,pate
4.9,"
                        $25.92",,purina,adult,67604,,"purina pro plan savor adult seared chicken,julienne carrots & barley entree in gravy canned dog food,5.5-oz,case of 24",wet food,"all breeds, small breeds, medium breeds, large breeds",9,"
                        $23.99",united states,Purina Pro Plan,chunks in gravy
5,"
                        $33.36",,,"adult, all stages",80263,,"nature's recipe chicken & turkey recipe in broth wet dog food,2.75-oz,case of 24",wet food,"all breeds, small breeds, medium breeds, large breeds",11,"
                        $30.96",,Nature's Recipe,bits in broth
4.5,"
                        $26.28",,,adult,66532,grain-free,"dave's pet food 95% premium meats grain-free chicken recipe canned dog food,13-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",31,"
                        $25.99",united states,Dave's Pet Food,pate
4.8,"
                        $47.88",,,"adult, all stages",55596,"gmo-free, grain-free",weruva jammin' salmon with chicken & salmon in pumpkin soup grain-free canned dog food,wet food,"all breeds, small breeds, medium breeds, large breeds",29,"
                        $40.99",,Weruva,chunks in gravy
4.6,"
                        $18.00",,,adult,86440,,"cesar classics pate with turkey dog food trays,3.5-oz,case of 24",wet food,"all breeds, small breeds, medium breeds, large breeds",12,"
                        $16.80",,Cesar,pate
4.8,"
                        $15.68",,,"all stages, adult",114170,,"pedigree choice cuts filet mignon flavor in gravy wet dog food,3.5-oz,case of 16",wet food,"all breeds, small breeds, medium breeds, large breeds",5,"
                        $12.33",united states,Pedigree,chunks in gravy
4.9,"
                        $32.87",,,"adult, all stages",48339,organic,newman's own organics turkey & chicken formula canned dog food,wet food,"all breeds, small breeds, medium breeds, large breeds",38,"
                        $25.61",united states,Newman's Own Organics,pate
4.7,"
                        $26.28",,,adult,66539,grain-free,"dave's pet food 95% premium meats grain-free turkey recipe canned dog food,13-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",30,"
                        $25.99",united states,Dave's Pet Food,pate
4.7,"
                        $26.79",,,"adult, all stages",47561,,halo holistic chicken recipe adult canned dog food,wet food,"all breeds, small breeds, medium breeds, large breeds",56,"
                        $21.48",united states,Halo,stew
4.4,"
                        $28.68",,,adult,93928,"high-protein, grain-free, limited ingredient diet","evo 95 adult grain free beef recipe in gravy canned dog food 13-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",61,"
                        $25.80",united states,EVO,pate
4.7,,,,adult,77356,"grain-free, gluten free","wild calling western plains 96% beef grain-free adult canned dog food,13-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",22,"
                        $32.28",united states,Wild Calling,pate
4.8,"
                        $45.36",,blue life protection,adult,51920,no corn no wheat no soy,"blue buffalo homestyle recipe small breed lamb dinner canned dog food,5.5-oz,case of 24",wet food,"extra small & toy breeds, small breeds",30,"
                        $36.99",united states,lue Buffalo,pate
4.7,"
                        $35.88",,,"adult, all stages",51414,"grain-free, no corn no wheat no soy, gluten free","canidae grain-free pure land lamb formula canned dog food,13-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",22,"
                        $32.63",united states,CANIDAE,pate
4.6,"
                        $36.49",,purina,adult,109580,"sensitive digestion, prescription food","purina pro plan veterinary diets low fat en gastroenteric formula canned dog food,13.4-oz,case of 12",wet food,"small breeds, medium breeds, large breeds, all breeds",5,"
                        $32.99",united states,Purina Pro Plan Veterinary Diets,minced
3,,2.625 pounds,blue life protection,"adult, all stages",114286,no corn no wheat no soy,"blue buffalo divine delights gravy variety pack filet mignon & ny strip flavor dog food trays,3.5-oz,case of 12",wet food,"small breeds, extra small & toy breeds",1,"
                        $16.99",united states,lue Buffalo,chunks in gravy
4.7,"
                        $22.68",9.9 pounds,,adult,121992,,"eukanuba adult chicken,rice & vegetables dinner formula canned dog food,13.2-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",12,"
                        $20.49",united states,Eukanuba,minced
4.7,"
                        $26.60",9.9 pounds,,"all stages, adult",114347,weight control,"pedigree chopped ground dinner weight management chicken & rice canned dog food,13.2-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",3,"
                        $13.99",united states,Pedigree,minced
4.5,"
                        $23.91",16.5 pounds,,"all stages, adult",114354,,pedigree chopped ground dinner with beef canned dog food,wet food,"all breeds, small breeds, medium breeds, large breeds",11,"
                        $14.04",united states,Pedigree,minced
3,,2.625 pounds,blue life protection,"adult, all stages",114280,no corn no wheat no soy,"blue buffalo divine delights steak & egg flavor pate dog food trays,3.5-oz,case of 12",wet food,"small breeds, extra small & toy breeds",3,"
                        $13.99",united states,lue Buffalo,pate
4.8,"
                        $38.94",,purina,adult,89784,"sensitive digestion, prescription food","purina pro plan veterinary diets en gastroenteric naturals canned dog food,13.4-oz,case of 12",wet food,"small breeds, medium breeds, large breeds, all breeds",20,"
                        $37.99",united states,Purina Pro Plan Veterinary Diets,minced
4.4,,,,"adult, all stages",48332,"sensitive digestion, grain-free, organic","newman's own organics grain-free beef & liver canned dog food,12-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",75,"
                        $33.99",,Newman's Own Organics,pate
4.6,"
                        $35.88",,blue life protection,adult,85001,"no corn no wheat no soy, grain-free","blue buffalo family favorite grain-free recipes turkey day feast canned dog food,12.5-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",18,"
                        $28.99",united states,lue Buffalo,stew
4.6,"
                        $24.81",,,"adult, all stages",52653,"grain-free, gluten free, no corn no wheat no soy","evanger's classic recipes beef grain-free canned dog food,12.8-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",51,"
                        $22.55",united states,Evanger's,pate
4.8,"
                        $35.88",,wellness core,adult,52027,"grain-free, gluten free, no corn no wheat no soy","wellness core grain-free turkey,pork liver & duck formula canned dog food,12.5-oz,case of 12",wet food,"small breeds, medium breeds, large breeds, all breeds",46,"
                        $33.99",,Wellness,pate
4.8,"
                        $35.88",,,"adult, all stages",94141,"high-protein, grain-free, gluten free, no corn no wheat no soy","merrick backcountry grain-free chunky venison & beef dinner in gravy canned dog food,12.7-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",20,"
                        $31.44",united states,Merrick,chunks in gravy
4.6,"
                        $49.41",,,"all stages, adult",63840,"vegan, no corn no wheat no soy","halo holistic garden of vegan recipe adult canned dog food,13-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",31,"
                        $41.18",united states,Halo,pate
4.2,"
                        $22.68",9.375 pounds,,adult,121988,,"eukanuba adult mixed grill chicken & beef dinner in gravy formula canned dog food,12.5-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",9,"
                        $20.49",united states,Eukanuba,chunks in gravy
4.5,"
                        $42.90",,,"adult, all stages",47333,"no corn no wheat no soy, grain-free, gluten free","evanger's grain-free hand packed whole chicken thighs canned dog food,11-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",38,"
                        $42.46",united states,Evanger's,chunks in gravy
4.7,"
                        $32.99",,hill's,puppy,48947,,"hill's science diet small & toy breed puppy chicken & barley entree canned dog food,5.8-oz,case of 24",wet food,"extra small & toy breeds, small breeds",9,"
                        $27.05",united states,Hill's Science Diet,minced
4.4,"
                        $28.68",,,adult,93926,"high-protein, grain-free, limited ingredient diet, gluten free","evo 95 adult dog grain free chicken & turkey recipe in gravy canned dog food 13-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",62,"
                        $25.80",united states,EVO,pate
