rating,list_price,price,product_list,description_values,description_titles,review_count,company
4.5,"
                        $29.88","
                        $23.59",natural balance l.i.d. limited ingredient diets duck & potato formula grain-free canned dog food,"48021,pate,small breeds, medium breeds, large breeds, all breeds,wet food,adult, all stages,united states,no corn no wheat no soy, sensitive digestion, limited ingredient diet, grain-free","itemnumber,foodtexture,breedsize,foodform,lifestage,madein,specialdiet",280,By Natural Balance
4.2,"
                        $8.77","
                        $7.98","alpo chop house rotisserie chicken & t-bone steak flavor in gravy canned dog food,13.2-oz,case of 12","99991,9.75 pounds,chunks in gravy,purina,all breeds, small breeds, medium breeds, large breeds,wet food,adult, all stages","itemnumber,weight,foodtexture,brand,breedsize,foodform,lifestage",42,By ALPO
4.8,"
                        $18.99","
                        $16.80","cesar classics pate poultry multipack dog food trays,3.5-oz,case of 24","86458,pate,all breeds, small breeds, medium breeds, large breeds,wet food,adult","itemnumber,foodtexture,breedsize,foodform,lifestage",80,By Cesar
4.7,,"
                        $44.99",hill's prescription diet z/d original skin/food sensitivities canned dog food,"69803,pate,hill's, science diet,all breeds, large breeds, medium breeds, small breeds,wet food,adult,united states,sensitive digestion, prescription food","itemnumber,foodtexture,brand,breedsize,foodform,lifestage,madein,specialdiet",185,By Hill's Prescription Diet
4.6,"
                        $29.88","
                        $23.59",natural balance l.i.d. limited ingredient diets chicken & sweet potato formula grain-free canned dog food,"48019,pate,small breeds, medium breeds, large breeds, all breeds,wet food,adult, all stages,united states,no corn no wheat no soy, sensitive digestion, limited ingredient diet, grain-free","itemnumber,foodtexture,breedsize,foodform,lifestage,madein,specialdiet",262,By Natural Balance
4.5,"
                        $8.59","
                        $7.99","alpo chop house filet mignon & bacon and roasted chicken & top sirloin flavors savory juices canned dog food,13.2-oz,case of 12","99993,9.9 pounds,chunks in gravy,purina,all breeds, small breeds, medium breeds, large breeds,wet food,all stages, adult","itemnumber,weight,foodtexture,brand,breedsize,foodform,lifestage",82,By ALPO
4.7,"
                        $31.08","
                        $25.99","blue buffalo wilderness beef & chicken grill grain-free canned dog food,12.5-oz,case of 12","51568,pate,blue wilderness,all breeds, small breeds, medium breeds, large breeds,wet food,adult,united states,high-protein, grain-free, no corn no wheat no soy","itemnumber,foodtexture,brand,breedsize,foodform,lifestage,madein,specialdiet",188,By Blue Buffalo
4.8,"
                        $78.99","
                        $73.49","royal canin veterinary diet urinary so canned dog food,13.6-oz,case of 24","49970,20.4 pounds,pate,royal canin,all breeds, small breeds, medium breeds, large breeds,wet food,adult,united states,prescription food","itemnumber,weight,foodtexture,brand,breedsize,foodform,lifestage,madein,specialdiet",319,By Royal Canin Veterinary Diet
4.7,"
                        $25.39","
                        $23.99","blue buffalo homestyle recipe chicken dinner with garden vegetables & brown rice canned dog food,12.5-oz,case of 12","46811,pate,blue life protection,all breeds, small breeds, medium breeds, large breeds,wet food,adult,united states,no corn no wheat no soy","itemnumber,foodtexture,brand,breedsize,foodform,lifestage,madein,specialdiet",185,By Blue Buffalo
4.5,"
                        $29.88","
                        $23.59","natural balance l.i.d. limited ingredient diets sweet potato & venison formula grain-free canned dog food,13-oz,case of 12","124494,9.75 pounds,pate,small breeds, medium breeds, large breeds, all breeds,wet food,adult, all stages,united states,no corn no wheat no soy, sensitive digestion, limited ingredient diet, grain-free","itemnumber,weight,foodtexture,breedsize,foodform,lifestage,madein,specialdiet",473,By Natural Balance
4.7,,"
                        $32.49","hill's prescription diet w/d digestive/weight/glucose management with chicken canned dog food,13-oz,case of 12","69796,pate,hill's, science diet,all breeds, small breeds, medium breeds, large breeds,wet food,adult,united states,prescription food, sensitive digestion, weight control","itemnumber,foodtexture,brand,breedsize,foodform,lifestage,madein,specialdiet",283,By Hill's Prescription Diet
4.4,"
                        $11.99","
                        $10.98","rachael ray nutrish natural variety pack wet dog food,8-oz tub,case of 6","100496,chunks in gravy,all breeds, small breeds, medium breeds, large breeds,wet food,adult, all stages,no corn no wheat no soy, gluten free","itemnumber,foodtexture,breedsize,foodform,lifestage,specialdiet",183,By Rachael Ray Nutrish
4.9,,"
                        $37.49",hill's prescription diet i/d digestive care chicken & vegetable stew canned dog food,"81163,stew,hill's, science diet,all breeds, small breeds, medium breeds, large breeds,wet food,adult,united states,sensitive digestion, prescription food","itemnumber,foodtexture,brand,breedsize,foodform,lifestage,madein,specialdiet",283,By Hill's Prescription Diet
4.7,"
                        $18.99","
                        $16.80","cesar club variety cube dog food trays,3.5-oz,case of 24","86492,pate,all breeds, small breeds, medium breeds, large breeds,wet food,adult","itemnumber,foodtexture,breedsize,foodform,lifestage",128,By Cesar
4.8,"
                        $36.69","
                        $33.49","hill's prescription diet i/d digestive care original low fat canned dog food,13-oz,case of 12","69765,pate,hill's, science diet,all breeds, small breeds, medium breeds, large breeds,wet food,adult, senior,united states,prescription food, sensitive digestion, weight control","itemnumber,foodtexture,brand,breedsize,foodform,lifestage,madein,specialdiet",330,By Hill's Prescription Diet
