,benefits
10," delicious, chunky, slow cooked-classic stew with premium protein from real turkey &amp; duck , slow-cooked to retain natural flavors , vitamins a and e supports healthy eyes , biotin supports the coat and skin , contains no meat byproducts, grains, or fillers "
11," made for senior dogs over 5 years , fish oil and b vitamins support skin and coat health , helps stimulate fussy appetites , highly palatable loaf-style meal in sauce , 100% complete and balanced diet "
12," specially formulated to naturally meet the unique needs of small breed dogs , delicious mini-filets using quality ingredients like roasted beef, carrots &amp; red peppers in gravy , contains only premium, all natural ingredients with no wheat, meat by-products, soy or artificial colors and flavors , convenient, easy-open, ready-to-serve container makes mealtime quick and easy , complete and balanced for everyday feeding "
13," promotes healthy skin and a soft, shiny coat to keep your pet looking and feeling robust. , natural dog food offers complete nutrition that is rich in nutrients and full of flavor. , specially crafted to help support healthy digestion so to promote optimal nutrient absorption. , natural ingredients are carefully sourced from their trusted network of farmers and suppliers. , made in the usa with no chicken by-product meal, soy or artificial flavors or preservatives. "
14," the unique grain-free can recipes provide prebiotic support and feature botanicals such as pumpkin, papaya and pomegranate , features omega 3 fatty acids from flaxseed to help promote a shiny and healthy skin &amp; coat , the botanicals, herbs and premium proteins that are used help deliver optimum, natural nutrition for daily whole-body health , contains chicory root extract to support healthy digestion , made without grains, wheat, soy, corn, artificial colors, flavors or preservatives "
15," features hearty cuts of real meat in gravy for an irresistible taste of steak and vegetables. , balanced recipe provides complete nutrition and is highly digestible for easy nutrient absorption. , optimal levels of oil and minerals nourish the skin and coat for a luxurious shine. , soft texture adds flavor and variety to dog’s diets. serve it alone or mix it with kibble. , proudly made in the usa with the flavors dogs crave and the nutrition they need. "
16," evanger's lamb &amp; rice dinner is formulated to meet the nutritional levels established by the aafco nutrient profiles for all life stages. , this product is certified organic by oregon tilth. this ensures that your pet is getting a quality food that is made with all natural ingredients. , not only does this product offer your pet a variety in taste, this gourmet dinner offers the additional nutritional benefits your pet needs. natural vitamins and minerals are blended with the all-natural meats for ultimate nutrition that are completely balanced meals for all life stages, ages, and breeds. , evanger’s cans are packed with natural, raw ingredients in their own natural juices. the ingredients are then cooked entirely inside the sealed can to lock in the nutrients and flavor of each variety. this process assures both wholesome nutrition for long life and good health, plus the great taste your dog and cat will love. naturally the best! , all evanger’s foods are made with premium-quality, highly-palatable and nutritious ingredients that will satisfy even the most finicky eater. with no soy, corn, wheat, artificial ingredients, harmful additives, preservatives or by-products, evanger’s canned meals are a perfect option for pets that have food sensitivities. "
17," tasty and natural grain-free food is packed with protein and comes in easy-to-serve trays.  , real, deboned chicken is the first ingredient with added vitamins and minerals. , inspired by the diet of wolves, who are true omnivores with legendary endurance.  , made in the usa with only real ingredients and never any chicken or poultry by-product meals.  , great for allergies with no grains, corn, wheat or soy or artificial preservatives, colors or flavors. "
18," chunks of premium lamb with antioxidant-rich fruits and veggies in a delicious sweet potato stew , made with antioxidant-rich fruits &amp; veggies to support overall health and wellness , features glucosamine and chondroitin to help maintain hip and joint health , made without any grains, corn, wheat, soy, artificial colors, flavors or preservatives , chelated minerals for better nutrient absorption "
19," formulated especially for senor dogs to promote healthy joints and mobility. , features juicy, meaty bites soaked in gravy and provides a soft texture for flavor and variety. , great to use as a treat, as a kibble topper for added flavor, or as a complete meal. , optimal levels of oil and minerals nourish the skin and coat for a luxurious shine. , proudly made in the usa with the flavors dogs crave and the nutrition they need. "
20," high quality cuisine that provides unparalleled variety and enjoyment , formula provides complete and balanced nutrition in a pate formulated for adult dogs , fortified with vitamins and minerals to help dogs of all sizes to stay healthy , savory dog food is served in convenient trays with easy, peel-away freshness seals , features delectable delicious steak flavor for dogs with refined tastes at any time of day "
21," this premium dog food provides ideal levels of high-quality lean protein for building muscle and maintaining ideal body composition. , made without the use or artificial colors and preservatives for a natural, wholesome diet. , available in convenient peel and serve trays that are perfectly sized for small dogs and toy breeds. , contains gentle, high-quality fibers which are designed to aid in proper digestion. , this nutritious formula is ranked veterinarians’ #1 choice to feed their own pets. "
22," all-natural whole food made with nutrient-dense muscle meat and organ meat with concentrates of select fruits and vegetables. , grain-free, gluten-free, and low in carbohydrates made with 90% animal ingredients. , unique source of highly digestible natural eggshell calcium and animal plasma. , highly palatable flavor with high levels of natural vitamins, minerals, and albumin and globulin proteins. , no wheat, corn, rice, soy, potato or chemically synthesized vitamins, minerals, trace nutrients, carrageenan, guar gum, or xantham gum. "
23," a grain-free formula that contains salmon as it's first ingredient , contains pure probiotic strains to aid in proper digestion , calcium and phosphorus help your dog maintain strong bones while wholesome vegetables and fruits support optimal immune health , amino acids to support lean muscle mass and a healthy heart , made with added essential vitamins like d, b12 and vitamin a "
24," a delicious supplemental recipe containing 98% all natural, premium beef. perfect as a kibble topper! , gluten-free, with no rendered animal fats or by-products, no added sugar, no carrageenan, and no corn, wheat, or soy , super palatable: your pup will go crazy for the taste and texture of this smooth, meaty pate , provides essential moisture to prevent dehydration and help maintain proper urinary tract health , convenient, easy to open pull-tab can makes meal time quick and easy "
25," a grain-free formula that's suitable for all life stages , first and primary ingredient is a single source of organic protein , this formula is highly palatable and digestible , made without any artificial flavors, colors, preservatives, corn or wheat , certified by oregon tilth for a wholesome meal any pup would enjoy "
26," gourmet, natural canned dog food with a delicious recipe featuring boneless, skinless, white chicken breast cooked up with pumpkin, sweet potato, eggs and ham in a tasty gravy , all of weruva's dog food formulas are formulated with the carnivore in mind, so this recipe focuses on high quality protein, minimal carbs and a high moisture content for the most nutritious meal around for your pup. , recipe is grain-free, gluten-free and carrageenan-free, so it's ideal for any pups with sensitive tummies or allergies , contains added vitamins and minerals to make this delicious food a complete and balanced diet , suitable for all life stages, can be served as a standalone diet or as a yummy topper for dry food "
27," high-quality lamb protein is easily digestible and provides essential amino acids that help build and maintain strong, lean muscles. , brown rice is a quality carbohydrate source that helps maintain healthy energy levels; whole vegetables add great flavor and natural nutrients. , scientifically advanced for peak performance with an optimal balance of nutrients to promote healthy weight. , rich in antioxidants to help support your dog’s immune system and keep it strong. , can be used as a complete meal or an enticing topper over dry kibble. "
28," complete nutrition for large breed puppies is rich in nutrients and full of flavor. , balanced protein and fat promotes optimal growth and nourishes healthy development. , delicious recipe also supports a soft, shiny coat and healthy skin. , natural ingredients are carefully sourced from a trusted network of farmers and suppliers. , made in the usa with no chicken by-product meal, soy or artificial flavors or preservatives. "
29," a high quality, gluten free diet that’s made with multiple animal protein sources , yucca schidigera extract aids gastrointestinal system and reduces odor in stool , this unique blend of food is highly digestible allowing for maximum nutrient absorption , added vitamins like vitamin a and vitamin b12 help support a healthy immune system , made with antioxidant nutrients and minerals for optimal brain health "
30," this premium dog food provides ideal levels of high-quality lean protein for building muscle and maintaining ideal body composition. , made without the use or artificial colors and preservatives for a natural, wholesome diet. , available in convenient peel and serve trays that are perfectly sized for small dogs and toy breeds. , contains gentle, high-quality fibers which are designed to aid in proper digestion. , this nutritious formula is ranked veterinarians’ #1 choice to feed their own pets. "
31," formulated for dogs with food sensitives with one animal protein source and no grain or gluten.  ,  contains the fewest, most essential, easily digestible ingredients.  ,  includes healthy omega-3 and 6 fatty acids for a soft and shiny coat.  ,  delicious loaf provides a complete and balanced diet for all breeds and life stages, including puppy, adult and senior.  ,  made in usa facilities with no grain, gluten, potato, dairy, eggs, chicken, beef or fish.  "
32," increased calories are great for dogs recovering from illness or injury who need to gain back lost weight , natural turkey is the #1 ingredient, ideal for dogs that prefer the taste of turkey , omega 3 and 6 fatty acids contribute to healthy skin and luxurious coat, and calcium and phosphorus ratio helps support healthy bones and teeth , include minimally processed fruits and vegetables that provide a source of antioxidants and vitamins , made in an organically certified kitchen without corn, wheat, soy, artificial colors or preservatives with probiotics to support digestion "
33," a delicious recipe that provides complete and balanced nutrition for adult dogs and puppies , healthy, wholesome recipe with chicken as the first ingredient, fortified with vitamins and minerals , super palatable: your pup will go crazy for the taste and texture of this smooth pate that provides essential moisture , includes ground flaxseed, rich in omega 3 fatty acids and high in fiber for a range of cardiovascular, endocrine and immune system support, as well as supporting skin and coat health , made in the usa with no artificial colors, flavors, or preservatives "
34," pate food formulated specifically for the nutritional needs of small dogs. try every flavor! , supports health throughout their longer life expectancy with complete and balanced nutrition. , nutrient-dense recipe helps to support their higher metabolism with high protein for strong muscles. , blend of antioxidants, vitamins and minerals support the immune system and overall health. , tender texture in savory juices is easy for small mouths to chew, in an easy-to-serve and portable tray. "
35," powerful antioxidants support a healthy brain and a desire to interact. , protein, phytonutrients, and l-carnitine help get your dog moving and interested in playing. , vitamins c and e support a healthy immune system. , stew recipe is delicious and the high-quality ingredients are easy to digest. , essential fatty acids help keep the coat soft and shiny. "
36," produced with fresh top-quality poultry, seafood and meats, which provides a healthy source of protein for your pet , also use fresh fruits and vegetables such as blueberries, cranberries, zucchini and artichoke to name a few, which are a great source of antioxidants, fiber, vitamins and folic acid , formulated to promote clean nutrition and protection for your pets from exposure to toxins and unhealthy ingredients , made with organic beef, fruits, vegetables, vitamins &amp; minerals for overall wellbeing , no artificial preservatives, colors, flavors, corn, wheat, or soy and made with simple &amp; essential ingredients "
37," complete nutrition for puppies comes in easy-to-serve, mess-free trays. , balanced protein and fat promotes optimal growth and nourishes healthy development. , nutrient-rich and flavorful recipe also supports a soft, shiny coat and healthy skin. , natural ingredients are carefully sourced from a trusted network of farmers and suppliers. , made in the usa with no chicken by-product meal, soy or artificial flavors or preservatives. "
38," real, de-boned chicken is the very first ingredient along with fresh peas, sweet potatoes and seasonal pumpkin. , all-natural, grain-free recipe contains no wheat, corn or soy, so it’s easy to digest and great for the pooch with allergies or a sensitive tummy. , formulated with essential vitamins, minerals and nutrients to provide complete and balanced nutrition. , savory stew can be served as a complete delectable holiday meal or delicious topper over his dry kibble to add some festive variety to his diet. , proudly made in merrick’s texas facility using the world’s best locally-sourced ingredients from farmers they know and trust. "
39," fish is a unique, high-quality source of protein that’s not often used in dog food, which makes it less likely to aggravate food sensitivities. ideal for pets who require unique proteins in their diet. , highly digestible carbohydrates, such as nutrient-rich sweet potatoes, are included for all-day energy , formulated with optimal levels of omega-6 fatty acid (linoleic acid) and zinc to promote healthy skin and a shiny coat. help keep your pet keep looking great and robust. , made with absolutely no artificial colors, flavors or preservatives. this is a high quality product that is produced in the manufacturer's own facilities to ensure safety and quality. , nutro's dedicated team of experts tailor their formulas to your pet's life stage and health condition. they only use natural ingredients that they directly buy and can trace back to their suppliers. "
40," a delicious recipe that provides complete and balanced nutrition for adult dogs and puppies , healthy, wholesome recipe with lamb as the first ingredient, fortified with vitamins and minerals , super palatable: your pup will go crazy for the taste and texture of this smooth pate that provides essential moisture , includes ground flaxseed, rich in omega 3 fatty acids and high in fiber for a range of cardiovascular, endocrine and immune system support, as well as supporting skin and coat health , made in the usa with no artificial colors, flavors, or preservatives "
41," variety pack features a hearty chopped texture with an irresistible choice of bacon flavors. , balanced recipe provides complete nutrition and is highly digestible for easy nutrient absorption. , optimal levels of oil and minerals nourish the skin and coat for a luxurious shine. , soft texture adds flavor and variety to dog’s diets. serve it alone or mix it with kibble. , proudly made in the usa with the flavors dogs crave and the nutrition they need. "
42," grain-free formula with beef as the first ingredient plus salmon for the high-protein diet dogs thrive on. , loaded with vitamins, minerals and antioxidants to support a healthy immune system and overall wellbeing. , high in omega-3 fatty acids to maintain a healthy and lustrous skin and coat. , provides a complete and balanced meal for adults dogs, on its own or as a delicious kibble topper. , made in usa facilities with high-quality ingredients and no grain, corn, wheat, soy, or fillers. "
43," convenient, single-serve trays designed to offer the right-sized portion for smaller breeds. , rich in animal protein with pieces of real beef and salmon for a taste of both land and sea. , 100% grain-free so it’s easily digestible and perfect for pups with sensitive stomachs. , made without corn, wheat, soy or gluten for a wholesome recipe. , locally sourced farm fresh ingredients in the usa to ensure the highest quality. "
44," grain-free, gluten-free, complete &amp; balanced dinner featuring whole chicken drummets with fresh carrots and peas that your pup is sure to gobble up! , no corn, wheat or soy , made with fresh, natural, premium-quality ingredients , contains real chicken bones that add flavor, texture and are great natural sources of crucial nutrients like calcium, magnesium, phosphorus, and iron. evanger's special slow-cook, pressure-cook process softens the bones so they are splinter-free, easily digestible and edible! not recommended for small dogs. , suitable for all life stages and made in the usa! "
45," tender chunks of meat in gravy, every dog will love! , made with high-quality protein sources , contains 25% more protein than the leading canned competitor’s adult dog food , fortified with 23 vitamins and minerals for overall well-being , 100% complete and balanced for adult dogs "
46," made with turkey, chicken and venison as the top ingredients to satisfy your pup’s true instincts for game protein. , formulated with vitamins, minerals and antioxidants for immune health and overall well-being. , nutrient-dense formula provides a balanced and complete diet for adult dogs of all breeds. , perfect to give on its own or as a delicious kibble topper that’s great for picky eaters. , crafted in usa facilities with no artificial colors, flavors or preservatives and comes in an easy-to-open can. "
47," wholesome natural ingredients like peas and carrots , chelated minerals boost the immune system and biotin keeps the skin and coat healthy , made without wheat, a common allergy trigger for dogs, great for dogs with sensitive digestive systems , a sensible alternative to less convenient raw diets, which often require additional supplementation to be nutritionally complete , vitamin b12 boosts energy and improves gastrointestinal function "
48," vitamin b12 boosts energy , wholesome natural ingredients like peas, carrots and potatoes , chelated minerals boost the immune system and biotin keeps the skin and coat healthy , made without wheat, a common allergy trigger for dogs, great for dogs with sensitive digestive systems , a sensible alternative to less convenient raw diets, which often require additional supplementation to be nutritionally complete "
49," convenient, single-serve trays for small breeds , #1 ingredient is real deboned turkey , no artificial colors, flavors or preservatives , locally sourced farm fresh ingredients to ensure the highest quality , rich in animal protein and 100% grain-free "
50," highly palatable blend of ingredients in a savory gravy , made with real animal protein and no animal by-product meals , added vitamins like vitamin a and vitamin b12 help support a healthy immune system , no artificial flavors or preservatives , a 100% complete and balanced diet that’s easy to digest for senior dogs "
51," high quality cuisine that provides unparalleled variety and enjoyment , formula provides complete and balanced nutrition in juices formulated for adult dogs , fortified with vitamins and minerals to help dogs of all sizes to stay healthy , savory dog food is served in convenient trays with easy, peel-away freshness seals , features delectable delicious t-bone steak flavor for dogs with refined tastes at any time of day "
52," formulated just for puppies to promote strong, healthy teeth and bones. , features juicy, meaty bites soaked in gravy and provides a soft texture for flavor and variety. , great to use as a treat, as a kibble topper for added flavor, or as a complete meal. , optimal levels of oil and minerals nourish the skin and coat for a luxurious shine. , proudly made in the usa with the flavors dogs crave and the nutrition they need. "
53," the best, healthy ingredients from the earth, mixed into a delicious daily meal , protein rich chicken, blueberries, flavorful rosemary, sage and thyme are just a few of the nutritious ingredients , cooked in america with the earth's best ingredients , no corn, wheat or soy , no ingredients from china "
54," made with the finest natural ingredients, including generous amounts of tasty and nutritious turkey and chicken , made without any grain, a common allergy trigger for dogs , no corn, wheat, soy, chicken/poultry by-product meals, artificial preservatives, colors or flavors , b12 supplement improves gastrointestinal function and flaxseed boosts the immune system , a sensible alternative to less convenient raw diets, which often require additional supplementation to be nutritionally complete "
55," wholesome natural ingredients like carrots and potatoes , chelated minerals boost the immune system and biotin keeps the skin and coat healthy , made without wheat, a common allergy trigger for dogs, great for dogs with sensitive digestive systems , a sensible alternative to less convenient raw diets, which often require additional supplementation to be nutritionally complete , vitamin b12 boosts energy and improves gastrointestinal function "
56," #1 ingredient is real deboned chicken , grain-free and gluten-free , no artificial colors, flavors or preservatives , locally sourced farm fresh ingredients to ensure the highest quality , easily digestible, convenient and right-sized portions for small breed dogs. "
57," a whole dressed organic chicken simmered in natural well water is a wonderful healthy supplement and is naturally gmo, hormone and antibiotic free. , this product is certified organic by oregon tilth. this ensures that your pet is getting a quality food that is made with all natural ingredients. , not only does this product offer your pet a variety in taste, this gourmet dinner offers the additional nutritional benefits your pet needs. natural vitamins and minerals are blended with the all-natural meats for ultimate nutrition that are completely balanced meals for all life stages, ages, and breeds. , evanger’s cans are packed with natural, raw ingredients in their own natural juices. the ingredients are then cooked entirely inside the sealed can to lock in the nutrients and flavor of each variety. this process assures both wholesome nutrition for long life and good health, plus the great taste your dog and cat will love. naturally the best! , all evanger’s foods are made with premium-quality, highly-palatable and nutritious ingredients that will satisfy even the most finicky eater. with no soy, corn, wheat, artificial ingredients, harmful additives, preservatives or by-products, evanger’s canned meals are a perfect option for pets that have food sensitivities. "
58," suitable for puppies 1 to 12 months , a delicious classic pate made with high-quality animal proteins plus vitamins and minerals , wholesome dog food that is formulated with omega fatty acids to promote healthy skin and a soft coat , made with high-quality animal proteins plus vitamins and minerals , contains vitamin e to support a strong immune system "
59," specially made for delicate dogs with allergies or food sensitivities who need a less flavorful, limited ingredient diet. , simple chicken and rice recipe is formulated to help calm your pup’s tummy during times of transition; also ideal for the dog prone to stomach upset. , enhanced with vitamins, minerals and nutrients to provide a balanced diet with no artificial flavors or colors and no wheat or wheat-gluten. , can be served as a complete meal or a lip-smacking topper over dry kibble to help entice a picky pup. , proudly made in utah, usa by a dog-loving small business with a passion for quality dog food. "
60," tasty and natural grain-free red meat stew steeped in a hearty gravy in easy-to-serve trays. , real, deboned beef is the first ingredient with added vitamins and minerals. , inspired by a naturally wild diet, this protein-rich recipe caters to your dog’s inner carnivore. , made in the usa with only real ingredients and never any chicken or poultry by-product meals. , great for allergies with no grains, corn, wheat or soy or artificial preservatives, colors or flavors. "
61," the first ingredient is real, high quality, deboned beef for premium protein. , mixed with yukon gold potatoes, sweet potatoes and bacon in gravy for mouthwatering flavor. , added vitamins and minerals round out the complete and balanced, healthy meal. , fourth of july-inspired recipe makes every night a celebration. "
62," a grain-free formula that contains turkey as it's first ingredient , contains pure probiotic strains to aid in proper digestion , calcium and phosphorus help your dog maintain strong bones while wholesome vegetables and fruits support optimal immune health , amino acids to support lean muscle mass and a healthy heart , made with added essential vitamins like d, b12 and vitamin a "
63," chicken and turkey recipe in a hearty gravy , grain-free recipe helps pets avoid common allergens , packed with superfoods like kale, blueberries and broccoli , serve as a meal or mix with dry kibble , no wheat, corn or soy fillers "
64," controlled phosphorous and low sodium help protect vital kidney and heart function. , high levels of essentials amino acids for building muscle protein improve the ability to walk, run and jump in as little as 21 days. , enriched with antioxidants, glucosamine, chondroitin sulfate, and therapeutic levels of the omega-3 fatty acids epa and dha. , formulated to increase vitality and alertness in older dogs, as well as improve joint function. , made in the usa with thoughtfully sourced ingredients and superior quality. "
65," features hearty cuts of real meat in gravy for an irresistible taste of chicken and rice. , balanced recipe provides complete nutrition and is highly digestible for easy nutrient absorption. , optimal levels of oil and minerals nourish the skin and coat for a luxurious shine. , soft texture adds flavor and variety to dog’s diets. serve it alone or mix it with kibble. , proudly made in the usa with the flavors dogs crave and the nutrition they need. "
66," vet formulated for all breeds, ages and sizes to take the guesswork out of choosing your food. , made with nutritionally dense lamb as the first ingredient for optimum protein. , premium ingredients plus added vitamins and minerals make for great-tasting nutrition. , simmered in a broth for an irresistible flavor that dogs love. , made with uncompromised quality by the family-owned company without corn, wheat or soy. "
67," 18-can variety pack featuring three poultry-focused recipes , made with real chicken, turkey, duck and sweet potato , all-natural and protein-rich formulas , supports whole-body nutrition , complete &amp; balanced for everyday feeding "
68," grain and gluten-free recipe featuring tender 100% beef roast cooked in its own juices that serves as an excellent mixer/supplement to evanger's dry food recipes to make a complete and balanced meal your pup is sure to gobble up! , no corn, wheat or soy , made with fresh, natural ingredients , certified kosher for passover by the crc , suitable for all life stages and made in the usa! "
69," deboned salmon is the first ingredient in this dog food , delicious aroma, texture and taste , essential vitamins and minerals for complete nutrition , complete and balanced nutrition for dogs of all life stages , ancestral canine diet packed with protein your dog craves "
70," high quality cuisine that provides unparalleled variety and enjoyment , formula provides complete and balanced nutrition in sauce formulated for adult dogs , fortified with vitamins and minerals to help dogs of all sizes to stay healthy , savory dog food is served in convenient trays with easy, peel-away freshness seals , features delectable delicious pork tenderloin flavor for dogs with refined tastes at any time of day "
71," specially formulated to naturally meet the unique needs of small breed dogs , delicious casserole using quality ingredients like tender chicken, green beans &amp; carrots , contains only premium, all natural ingredients with no wheat, meat by-products, soy or artificial colors and flavors , convenient, easy-open, ready-to-serve container makes mealtime quick and easy , complete and balanced for everyday feeding "
72," this grain and gluten-free, limited ingredient food is crafted from only 4 ingredients. it's prefect for pets that have sensitivities or allergies to common foods. , lamb tripe helps restore balance to your pet's stomach and improves digestion. it's a great choice for any life stage including growing puppies. , helps to promote cleaner teeth, a healthy, lustrous skin and coat, and can help put a spring back in your elderly dog's step. , a great option for those picky eaters who get bored easily. it introduces a new protein to your pup's diet and helps switch things up. it's also great for transitioning to a new food. , made in the usa! "
73," contains turkey, a high-quality protein, and potatoes, an easily digestible carbohydrate source , a perfect blend of veggies, fruit and micronutrients selected for their nutritional value and capacity to help in the digestive process , glucosamine and chondroitin helps support healthy joint function and mobility while l-carnitine promotes lean muscles , an optimal blend of omega 3 &amp; 6 fatty acids helps maintain the immune system and support skin and coat health , contains no chicken (or poultry) by-product meals, artificial ingredients of any kind, or corn, wheat, soy, dairy or eggs - ingredients known to cause allergies in some dogs "
74," both recipes are slow cooked in broth for a delicious flavor. , formulated to promote a rich, full coat and soft skin. , fortified with vitamins and minerals for a complete and balanced diet for adult dogs. , natural ingredients are carefully sourced from trusted farmers and suppliers. , made in the usa and free of artificial colors, flavors, and preservatives. "
75," fresh salmon is always the first ingredient, plus mackerel for high quality protein. , made with limited ingredients for gentle digestion. , whole nutrition for all dogs, and especially great for sensitive dogs. , simmered in broth for an irresistible flavor and texture that dogs love. , made with uncompromising quality by the family-owned company without grain, corn, wheat or soy. "
76," one delicious roll with three ways to feed–a balanced meal, a tasty topper for dry food or a rewarding treat; refrigerate remaining roll after opening. , deboned chicken raised in the us, a high-quality source of protein, is the number one ingredient. , quinoa provides a gluten-free source of nutrients, while garden-grown vegetables, including carrots, spinach and sweet potatoes, add even more essential nutrients and fiber. , contains no chicken by-product meals, corn, wheat or soy, and no artificial preservatives, colors or flavors. , provides your best friend with the best ingredients the earth has to offer, so you can feed her with the same level of quality that you feed the rest of your family. "
77," natural chicken is the #1 ingredient, ideal for dogs sensitive to grains , include minimally processed fruits and vegetables that provide a source of antioxidants and vitamins , omega 3 and 6 fatty acids contribute to healthy skin and luxurious coat, and calcium and phosphorus ratio helps support healthy bones and teeth , fruits, vegetables and grains provide soluble fiber to help maintain a healthy digestive system , made without corn, wheat, soy, artificial colors or preservatives with probiotics to support digestion "
78," high quality cuisine that provides unparalleled variety and enjoyment , formula provides complete and balanced nutrition in pate formulated for adult dogs , fortified with vitamins and minerals to help dogs of all sizes to stay healthy , savory dog food is served in convenient trays with easy, peel-away freshness seals , features delectable delicious chicken flavor for dogs with refined tastes at any time of day "
79," delicious, chunky, slow cooked-classic stew with premium protein from real venison &amp; salmon , great source of dha for cognitive development and healthy brain functions , b12 supplement assists gastrointestinal function , made without wheat, a common allergy trigger for dogs , contains no meat byproducts, grains, or fillers "
80," protein-rich stew with hearty chunks of chicken , real deboned chicken is the first ingredient with essential vitamins and minerals for complete nutrition , no grains, corn or soy – ingredients like grains and gluten have been left out of merrick’s new recipes , supports healthy skin and coat from significant levels of omega 6 and omega 3 fatty acids , proudly made in merrick’s texas facility using the world’s best locally-sourced ingredients from farmers they know and trust. "
81," 100% complete and balanced diet specifically formulated to support a healthy, active lifestyle for adult dogs , savory entrée packed with seared beef complimented by green beans and brown rice smothered in gravy provides the ultimate texture and taste your dog craves , powerful antioxidants support a strong immune system and optimal protein and fat levels help to promote an ideal body composition , omega-6 fatty acids are included to maintain healthy skin and a beautiful shiny coat , proudly manufactured in purina-owned u.s.a facilities and does not contain any added artificial colors, flavors, or preservatives "
82," highly palatable with a blend of ingredients in a savory broth , made with real animal protein and no animal by-product meals , added vitamins like vitamin a and vitamin b12 help support a healthy immune system , no artificial flavors or preservatives , a 100% complete and balanced diet for dogs of all breeds "
83," complete and balanced high quality formula includes protein meats with just water, vitamins, and minerals , sure to love the taste while being healthy and take in fewer calories , a great inexpensive alternative to a raw diet , the perfect diet for your dog that needs lots of protein , no grains, no cereals, no artificial colors or flavors "
84," gourmet, natural canned dog food with a delicious recipe featuring boneless, skinless chicken breast and wild caught salmon mixed with tomatoes, green peas and sweet potato in a pumpkin soup , all of weruva's dog food formulas are formulated with the carnivore in mind, so this recipe focuses on high quality protein, minimal carbs and a high moisture content for the most nutritious meal around for your pup. , recipe is grain-free so it's ideal for any pups with sensitive tummies or allergies , contains added vitamins and minerals to make this delicious food a complete and balanced diet , suitable for all life stages, can be served as a standalone diet or as a yummy topper for dry food "
85," high quality cuisine that provides unparalleled variety and enjoyment , formula provides complete and balanced nutrition in pate formulated for adult dogs , fortified with vitamins and minerals to help dogs of all sizes to stay healthy , savory dog food is served in convenient trays with easy, peel-away freshness seals , features delectable delicious turkey flavor for dogs with refined tastes at any time of day "
