pos_review_title,pos_review_content,itemnumber,neg_review_content,maker,neg_review_title
Excellent Choice,Perfect to add to dry Nutro Senior small nibbles. The small portion offered allows the container to serve a few meals to add flavor,52474,"After reading about this food, I thought our doodles ""might"" like this food! Unfortunately, it was not to be! They just  took one sniff and walked away...I let it set out for them, but nope...they just would not take one bite. I have to admit..I go by the smell of the foods I feed my pets, both the dogs",By Natural Balance,"UNFORTUNATELY, NOT FOR OUR DOODLES!"
Great Puppy Food,"Our Golden puppy just stopped eating at 7 months old so we purchased this food to enhance his kibble in hopes he would then be eager to eat. He, once again, LOVED his food and mealtime! He's eating well now and thriving!!",83604,"Unfortunately, my puppy won't eat this food. I wish 
I had not purchased a case, but could not find it in my local store. No doubt, it is nutricious.",By Natural Balance,Puppy won't eat it
Our dog loves your product!,"On a recent trip to Oregon we left our dog's canned food at home.  We stopped in Waterville and they didn't carry the brand of dog food we were using.  We selected the Wild Calling Chicken Coop in a can and our dog loves it. Since we couldn't find it locally we purchased it
online from Chewy. They sent",77354,This food smells good but it is real stickie.  It is hard for my dogs to eat,By Wild Calling,Wild Calling can food
This is great!,My dog loves this stuff! I only use a couple of spoon fulls in afternoon as a treat. But he gets so excited when he sees the container come out. He can barely sit still!,120824,"I made the mistake of not noticing that this was packaged as a case of 6 cans, not the typical 12 cans that are most commonly advertised. I was shocked when I received the order. This is ridiculously expensive for only 6 cans of food (approx $5 each) that my dogs weren't overly fond of. It was absolutely",By Instinct,Case of 6 not 12!
I Love this Company,I needed to return a case of food as our new foster pup had to switch brands. I sent and email - within 15 I had the most amazing response. Chewy credited my card and told me to donate the case of food. Amazing customer service!,86746,My 12 week old French Bulldog had about 20% of his food mixed with this. Couple of hours later I found him scratching and crying. He didn't like this at all and he had an allergy. Three stars because the customer service in Chewy is EXCELLENT. They processed my refund and told me to donate the rest of,By Nutro,Puppy won't eat this.
"Good quality meat, a little expensive","These are a little expensive, but perfect for a holistic diet. My Welsh Corgi is on these, and he loves the meat. These are all ground, so keep that in mind when purchasing. They're firm enough to make little wet pill pockets out of, as well.

My vet recommended me this brand, especially if you're ",83378,"This is really a nice product. Great size, great quality. I've fed turkey, beef, salmon and rabbit to my cats. Unfortunately, only 1 of my 7 cats is a guarantee to stay for dinner when I put this down. I actually finished off a can by adding the ""liquid"" from another wet food to this food. They all dined",By Wysong,Wish this had worked for me
Great taste,My dog loves loves the taste and I think it has really helped add oils to his dry coat,51716,This food is runny with gelatin all around it and my dogs do not like it at all! I ❤️ ❤️ Chewy though,By Wellness,fogs hated it
Wellness core variety pack,"Jake was getting tired of Turkey, Chicken Liver and Turkey Liver Formula but he loves the Turkey and Duck. We also tried Beef, Salmon, and lamb formulas and he likes them all. Would love to see Wellness back more variety packs so that I didn't have to store some of each flavor.",102007,Many of the cans I received were dented at the seam of the can.  So I don't know if the seal has been broken and if it is safe to feed my dog.  Very dissapointed.,By Wellness,crushed cans
Smells wonderful for pets who  enjoy smelling their food,"It is pricey. Actually, I enjoyed the smell if you enjoy salmon.",91014,"not much au jus and that's what I was looking for to top my pup's kibble. so this was definitely not a good purchase for me. however, the quality is good. i purchase the pouches of the (Weruva) BFF for my cats and that is a great gravy product.",By Weruva,it's okay
Happy Hips make happy lips!!  My dog loves it!,"He was getting fussy with his current food, and is getting older so I wanted to get something for joints as well as grain free.  Tried it and he likes it!  It has small pieces in gravy which he seems to like better than the pate foods.",47138,"This OK as canned dog foods go, not smelly, and nice texture.
I use it alone with the dry food.",By Dogswell,Average
Yorkie Lady,"After my puppies are weaned, I add a small amount of the Cesars Puppy to their dry kibble, they love it! Also I received my order promptly, everything was complete, no issues.",47090,"Caesar's food is great. Rowdy loves it. Your packaging was poor, allowing the Caesar's box to pierce the Nustriscia dog food bag to be pierced, spilling the contents. You guys need to package these products separately to prevent this damage.",By Cesar,Great food Poor packaging
Good Choice for a dog with allergies,Good choice for my dogs with chicken allergy. Food has good amount of protein and lower in fat. We mix with dry salmon grain free kibble.,85005,"Product looked good, but my one year old Rottie didn't like it. There wasn't a problem with any of the food being out of date,etc., only problem we had is it wasn't fitting to my dog's palate. Thought I would try it because it sounded good to me! So much for our tastes being alike:-)",By Blue Buffalo,"Looked good, but my dog didn't like it"
Labs like it!,"All my guys (4 Labs) like it..Time will tell. The only thing I am concerned about is will Purina, who just purchased Merrick, change the recipe or use cheaper ingredients...if that happens then all bets are off.",86947,"Although I do like Merrick for the last 10 years, I did not like this one that well.  It smelled cheap and was mushy.",By Merrick,did not like
My Jenny loves it all!!!!!,My Jenny girl loves it all!!!!! She was switched to this food because she has IBS and perianal fistula. This food has helped a lot!! It has no preservatives or fillers. She now has solid healthy poop!!! I have read many reviews stating that Evangers canned food has a lot of fat but I have yet to feed,60002,"I have a ""new"" rescue who has gastrointestinal issues. This dog food has too much fat for her. In addition, it packs a lot of other things into the food which could present an issue, if she has any food sensitivities or allergies.",By Evanger's,Too much fat content
My dog loves it But..,"My dog loves the food. He runs when I tell him that its time to eat. 
But the can itself was not thought through. There is a little ""ledge"" on the inside of the can. It is there when you open it. Problem with that is that it doesn't let the food slide out cleanly. Without this ledge the food would slide",120823,Unlike some of the other flavors that Nature's Variety has the Venison is too dry for a canned dog food. No gravy at all in the cans.,By Instinct,Too Dry
A great find for ALL my dogs!,Have tried SO many different dog foods that would satisfy ALL my dogs.  This one fits the bill.  Tried a variety of flavors and so far they've all been hits!,65658,"I had been buying this for years? Why did Castor & Pollux change the recipe? Not only the recipe but the texture,  it's very messy, and super watery.  Some of the chunks in other flavors are way too big for small dogs. One can had about 20 blueberries in it, way too many.  Not worth the price anymore",By Castor & Pollux,So disappointed...
Picky chihuahua can't stop eating it!,"My picky chi all of a sudden started not to eat her Lotus wet dog food she's been eating for years. I took her to the vet and noticed she lost a significant amount of weight. Being only 3 point something lbs now and ribs sticking out skinny, I was desperate to I frantically went to Whole Foods one desperate",88829,"Our dog has health issues so we try to keep him on a sugar free diet. We have tried a few different brands but this one was not that successful. The smell is off-putting and the dog will eat it eventually, but it's definitely not his favorite. We'll not purchase this brand again.",By Party Animal,product not that successful
Good Stuff for Me,"Poncho is 15 years old, a chihuahua with an attitude and few teeth, was fussy about his food til this meal came along.  He isn't fussy about his food, actually loves it.  Still has an attitude, but not about meals any longer.  Thanks for making this available; it is great!",99734,My pet did not like it at all.  Fortunately my sister's dog gobbled it up.,By Three Dog Bakery,Will not buy again
Breakfast food for dogs,"Pet Food Direct told me about this food the day after the salesman went in and gave them all samples before he told them what it was.  She said it was good.
I was looking for another brand at the time to get away from the brand I was using that was horrible after a while.  Her description convinced ",55600,I needed a breakfast food for my puppy mill dog with no teeth. I thought this product would be like a pate. It  was soupy and has stringy pieces of chicken. Neither of my dogs would touch it. Both refused at a second offering for dinner and then mixed with their regular food next.  The price is not the,By Weruva,To my surprise
No more irritable GI system!,"We have a rescued greyhound off the track in Florida.  He has ALWAYS been plagued with bad food allergies. Lots of diarrhea, gas, poor skin and coat condition. He did fair on Royal Canin prescription. Then we found Ultra holistic senior after he had a huge amount of dental work. This food is amazing.",48405,Most of my cans when I opened were just the gravy no chunks or food in it at all. Waste of money.,By Nutro Ultra,Not buying again
Canned Nature's Logic,"My dogs love it. I normally feed the dry kibbles, but when I go on vacation and leave the dogs at the kennel they do not eat and the kennel staff gets worried. So the canned is more appetizing to them and they will eat better when I am away. I also like it if I have to give any medication. Kibble or ",94110,"I didnt inspect the ingredients carefully enough before purchasing this. The third ingredient is turkey liver. From past experience I know that my toy poodles get constipated from any large quantity of organ meat, so I can only give them a spoonful each of this per day. The brand is high quality and ",By Nature's Logic,Good if used sparingly
Excellent product and all five dogs love it!,"We have been using Chewy for a few years and are very satisfied with the products, service and speedy delivery. Very easy to use and change orders if you so desire and free shipping. 
Thank you Chewy!",47331,"Been trying different dog food, not finding anything they love.",By Evanger's,My 2 dogs didn't like it
Dogswell happy hips canned dog food,My dog who is 12-1/2 yrs old was diagnosed as a diabetic 2+ years ago - I researched many different types of dog food and this one has healthy ingredients plus great taste that she loves.   She does not like dry dog food so that is why I use this brand of canned dog food,47140,I did not see any difference considering the ingredients used in this food. Flavors are average protein and my dog's aren't to picky but did not seem to excited to eat the food. They ate all around it then ate it last after everythung else in thier bowls. Probably won't purchase again and will donate,By Dogswell,It's ok
Great extra food,I feed my toy poodle puppy one heaping tablespoon wet mixed into about 1/4 cup dry lamb limited ingredient kibble.  She has this and water available to eat when she wants and usually finishes the bowl by the end of the day.  She is jumping around early in the morning to come out to the kitchen to eat,120825,"I have one of those dogs who will eat ANYTHING. He's never refused a food. We've always said that if this dog ever turns away a food it has to be reallllly bad stuff.

As he's gotten older, his digestive tract has become more sensitive, so my vet recommended putting him on an LID diet. Since we've fed",By Instinct,While I normally love Nature's Variety products....
Great for picky eaters !,"My Cavachon puppy is kind of skinny and a picky eater. He would sometimes turn away from Virginia ham treats, premium canned tuna etc. When I presented this stuff he dived right in, and not just the first time, everytime. He loves it . I use it as a topping  to entice him to eat his regular food.",71311,This dog food and several others I have tried is sticky like paste. Watching my dogs try to eat it is like giving a dog a big spoon of peanut butter.,By Health Extension,Looks like paste
Great product and company!,"My dog has chronic pancreatitis. I'm always looking for low fat or  relatively low fat foods that don't sacrifice protein that she will actually eat. She loves this! I love that it's organic. I do mix it with a dry, very low fat product. This food makes her dry food palatable and keeps her weight up.",59976,"My dog eats the Newman's Own Organics, and it receives good reviews. It is also less expensive than the previous food that I was feeding. But I thought it had an odor and didn't look terribly appealing. My dog does eat it, but I don't think he eats it with the same gusto as he did his previous canned",By Newman's Own Organics,The product was recommended to replace another canned food that is out-of-production now.
We love all Natural Balance products,"We feed NB, limited ingredient, exclusively to our 4 dogs.  3 FBD's and a Pug, including treats.",48027,My dog will not eat this at all.  I did buy the reduced formula for an overweight dog and she loves it but she will eat just about anything. :),By Natural Balance,Chewy great - dog hates what I ordered
Canned food,"Only eat one tsb of a morning mixed one tsb or canned white meat chicken, 1 tsb water soaked kibbles. This is a special breakfast only.",121994,But my picky eaters won't eat it. I'll keep trying.,By Eukanuba,Product was good
Mandy's food,Our 17 year old poodle has many allegies and the potato and fish food agrees with her.,86734,Dog on fish based diet ate it reluctantly after the first couple of days.  Other dogs not on the diet thought it was fine.,By Nutro,OK but not great
Great food at a great price,"I have a lab, GSD, & lab/pyrenees mix & all 3 love Eagle Pack foods.  I feed them the canned food once a week to change up the dry food routine.  They absolutely love all 4 flavors.  Thank you Eagle Pack for making a quality food at an affordable price.",47193,"With all the dog food out there its often hard to say what is good or not. I heard of this through a coworker and his dog trainer recommended it. But I was disappointed to find it was such a processed product, looking like mush which I hate. I prefer food that has more whole food in it and has some toothsomeness",By Eagle Pack,Thought it would be better
Good product !,I did some research on the top 10 canned foods for senior dogs a while back.  My dog is 16 years old and she had eaten dry dog food all her life but I decided it was time to put some canned food into her diet.   Eagle brand is an excellent quality food and my dog actually nags me that it's feeding time,47191,Dogs ate this right down on day 1 but slowly tapered off with additional feedings.  They have become very fickle since.  The food is a little soft - tried mixing with kibble.  They are very picky and I'd hoped this solved the issue but it doesn't appear to be the case.  Didn't meet our needs but might,By Eagle Pack,Picky Dogs
Absolutely Loves it!,"Bought this for my 5.5 lb puppy and she loves it.  She did not like; the canned food I had bought her before.  This actually looks like real stew, not dog food, and is very moist. Every evening I give her half of the package mixed with kibble, and it is gone within a couple of minutes.",86739,"The chicken entree is very dark meat.
The turkey entree is also very dark meat.
My Chihuahua's LOVE chicken breast and they snub this entree unless late in the day, and they are extremely hungry, then they pick at it.
The beef entree seems to be accepted better. My three cats get into the beef entree",By Nutro,Finicky Chi's
Dog loves it,Awesome service! Jessie loves the small breed wet line,84984,"The food is suitable for older dogs, I think because of its consistency.  I'd prefer the diced version with vegetables and I think he would too.",By Blue Buffalo,Dog food likeaility
beware of bones!,"While my dogs seem to like the flavor, you need to be aware that there are bones in the food.  If you have older dogs, as I do, or they have chewing problems due to teeth being missing, you must break up the bones.  They do break very easily and do not splinter.",47330,"I love many cans of Evanger's but when I saw all these chicken bones,even though they were supersoft.....no way!
It doesn't feel right to me and I will never buy it again.",By Evanger's,Strange....
Good balance of Quality and Price,I am very pleased with the quality of Nature's Recipe food and only with Chewy carried more verities of the Senior or Adult canned dog food.,59586,"Again, my beagle boston has refused to eat this brand of food, even canned.  I am in search of food she will reliably eat.",By Nature's Recipe,No Repeat Purchase
What's Up Dave?,"Chicken & Rice  Delicate Dinner Bland food (with the Beagle); Now is Restricted Diet  Chicken & Rice Delicate Dinner  Canned Dog.  Personally, I prefer the Beagle and it matched the Dry dog food that I feed with this. The new label threw me off at first, and I thought I ordered the wrong food but after",136550,"While both dogs found the taste irresistible, the one with the sensitive tummy couldn't tolerate it. Compared to some prescription bland diets, it does have a higher fat content, so perhaps that's why?",By Dave's Pet Food,Dogs Liked the Taste
lil plates,"I have 4 little dogs, all rescues. I feed them only Merrick foods...they love them and their coats are shiny, soft, and healthy. Great quality food!",98909,"My dog ate the 1st one.  Now, he wants nothing to do with it.",By Merrick,Meat appears gray
GrainFree Turducken is great,Mason loves this food ;) Thank you Chewy for always having the best of the best for my dog!,85002,"I wanted to try turducken after reading all the positive reviews, i was so disappointed when neither of my dogs would touch it and i was now stuck with 11  cans.",By Blue Buffalo,Disappointed
Wonderful addition to dry food,I own a German Shepherd and he has had an allergic reaction to most food that I have tried feeding to him. It causes him to itch like crazy. The poor guy was missing fur in places and was miserable. I switched him over to the Blue Buffalo Basics Limited Ingredient dry food for large breed dogs and he,51931,"This wasn't my dog's favorite, but he's a really picky eater. It did appear to be a good looking food with quality ingredients and I like that it's grain-free.",By Blue Buffalo,Wasn't my dog's favorite
Fantastic!,This is an absolutely fantastic product. Serving this with a side of veggies guarantees my dogs are getting premium nutrition. It also saves me time & money not having to cook for them every other day.,60001,My chihuahua don't like it. They like t he whole chicken thigh one.,By Evanger's,my dogs dint like it they love the while chicken thigh one!
Max LUVS this stuff,"I add this to his dry food to give a little variety and he absolutely loves it.  However, I thought I'd show you what he did to the box when it came from Chewy today.  I just tell him his food has arrived and he's trying to tear it open!  He KNOWS the good stuff is in there and he's happy!",95667,My dogs won't even touch this product. Im totally dissapointed..,By Wellness,Total waste of money
Great Deal,My dogs love this food - they are a little picky - but not with this brand and this flavor!!!  And you know with Chewy - the cost is great!!!!,47025,Sorry. I ordered this product hoping it would be a good change for my ever sensitive Dane but it gave him loose stools. It is rated highly and is probably very good. It's not the product but my dog that doesn't seem to work well.,By CANIDAE,Not as expected.
MY DOBERMANS JUMPED LIKE KANGAROOS!!!,"I only buy Wellness, but usually just the dry food.  I have two Dobermans 5 and 7 years old and my older dog I think was just getting board with her usual.  So, for a treat I got the can food.  Oh my, they acted like pups again, even whined and cried and jumped up and down for the food to be served.  ",102009,"Upon receiving it I found that half of the cans were fairly well damaged at the top and made opening them pretty difficult. 

I'll try one more time because the price and convenience still makes it worth it but I'll have to go another route if I receive so many damaged cans again.",By Wellness,Don't expect cans to be intact
4 rescue dogs,"It has chunks in gravy, no strong fishy smell, my hubby and I hate fish and I guess our ""kids"" take after us, they weren't real fond of it but they would eat it. I think it is a good product.",86953,"I have a GSD that is used to getting canned food mixed in with his dry.  I thought that this would be a welcomed treat so I purchased a case.  What a mistake, he prefers to eat his food dry rather than have this mixed in and that is saying a lot. He favors fish products so I don't know why he won't eat",By Merrick,Hard time getting my dog to eat this
Finally something they will eat but more gravy than meat,My German Shepherd and Miniature Schnauzer do seem to like this food.  I mix it with a high quality dry and top it with the Hunk of Beef which almost always gets their attention.  I will order one more case because of this.  The only problem I have with it is there seems to be more gravy than beef.  ,47327,"The first few cans were beautiful & looked just like the meat on the can - my dog LOVED it.  Next cans with Best By dates of APR 2021 & AGU 2021...(not a typo, that's how its on the can!) look like some whitish/grayish mystery meat & kinda smells like tuna.  The dog literally sniffs it & walks away.  ",By Evanger's,Would love to give this 5 stars but quality is VERY inconsistent!
Yummmmmmmy,"Our dog, Luke, just LOVES the chicken thigh and bone. No problem with getting him to eat and it makes us happy because of it being grain-free! We're going to try another kind, maybe  the vegetable beef, so he has some variety in his meals.
Thanks from happy dog owners and their sweet coon hound!",65670,"This doesn't even deserve one star, but it was required.  Very disappointed in this product.  Mostly liquid, with a few pieces of the veggies and a small hunk of chicken with the bone still in it.  Also, several of the cans were dented, apparently before packing, as the packaging material was intact.",By Castor & Pollux,Whole chicken bone in can.
"Great food, good value","My 24-lb terrier mix loves this food - she has had chicken, turkey, turkey/bacon. We buy the grain-free variety and mix it in with her dry food. No stomach upset, licks her bowl clean, very happy dog.",66532,Unfortunately my dogs are not as excited about it as I thought they would be.  Still good quality and smells good.,By Dave's Pet Food,Good Quailty
Wonderful Product,"Have used Tripett for years and the dogs start panting and pacing as soon as the can is opened, can't control themselves once they smell it. You'll feel so good serving this because it's absolutely pure and healthy plus it's a nutritious compliment to their diet.",59464,"My pug eats anything and of course she loves it. My picky eater however is not very enthusiastic. She will sit and stare at her bowl for a minute before she'll eat it. The smell is horrible. Smells like a dirty dumpster. So if you can get over the smell, its not so bad.",By PetKind,Dog will eat it
Greated Limited Ingredient Dog Food,"I usually cook for my dogs, but when the pooches need a quick dinner, the limited ingredient stew is a wonderful alternative.  I trust Merrick.  I don't trust many other dog food brands.  The pooches like the taste, too.",94153,"Great food, I just don't think my dogs liked it. They are very small dogs and the chunks were huge with tons of gravy. Sticking with the other textures.",By Merrick,Very gravey-filled
Quality mixer,"This pate mixes up great with dry kibble.  The dogs all seem to like it, and it is Canidae quality you can count on.",51418,"My senior poodle has refused to eat this. It's consistency is pate'.
My terrier ate a little but then walked away. Tried several times on different days. 
Now have cans of expensive food my dogs won't eat. 
But maybe other dogs like this. Mine don't.
Poodle is approaching 16, he's a picky eater. 
",By CANIDAE,Not so great.
My Dog's Favorite is Cesar,I have been feeding my almost three year old Shih Tsu Cesar since she was a year old. Cesar is the only wet food she eats. Pate with Turkey is her favorite. She also likes Rosemary Chicken and Pork Tenderloin. I came to Chewy out of desperation to find my dog her favorites and I am here to congratulate,86440,"My dogs have eaten the same three Cesar dog food products for the last 10 years. With the last two shipments from Chewy of a variety of these three flavors, none of my three dogs will touch the food...not even after not making any other food availabe for a whole day. I don't know if they are being stored",By Cesar,Cesar dog food products
both boxers like it,"got this food because of high calorie count- 524 To replace Natures Variety @556 that was discontinued.. MIGHT be a little TOO rich in flavor. 1 dog won't eat whole can @ a time-she NEEDS the calories, tho. SEEMS like good food from a good company. I emailed them previously & THEY EMAILED ME BACK :)",77356,"my Old chi liked this for 2 whole cans, and then he said nope, all done. My terriers loved it but they are not picky at all. It has a very soft, mushy texture like pate.",By Wild Calling,Most dogs will like this
Dog LOVES IT!,"The chicken was a bit more spongy than the Duck I tried first but, this is NOT a watery product!  If you think your going to shake/pour this stuff out of the can...forget it!  It's nice & firm.  You will need a spoon/fork to get the product out of the can.  I like it when the product is more firm....",76631,"I'm happy with Holistic Select in general (my dogs eat the dry food), but my pups wouldn't touch this. My Cotons are not picky gals and always up for food, so this was surprising and frustrating. I HATE that you have to buy a whole case---wasted $$$.",By Holistic Select,Well...........
2 year old doxie loves it,"We've been trying to find a good food to replace a brand we used to use that changed their formula. Gave this a try and our doxie loves it. It's a pate, but doesn't get overly hard in the fridge, which is nice. It's organic with only healthy ingredients, which is very important to us, and best of all",48339,"Your ad should say that the can has to be opened with a can opener, unlike other Newman canned dogfoods.
I find the contents greasy and fatty.",By Newman's Own Organics,inconvenient; fatty
"SUPER NUTRITION, GREAT FLAVOR, BUT A LITTLE MUSHY","My veterinarian wanted me to feed my Golden Retriever Innova Evo grain free beef dog food in connection with dealing with a major health issue.  My Golden Retriever loves the flavor of this wet dog food and gobbles it down.  However, the wet dog food by itself is rather mushy and what you might call ",93928,"My dog hates pate style canned food. I was expecting this to be actual chunks in gravy, however, it's not. It's pate. It smells good but I can't serve this to my picky eater.",By EVO,Not chunks in gravy
Weruva Jammin,My dogs loved the flavor even my cat chimed in while they were eating and had some.  I love all Weruva products and I see a difference in my dogs with the grain free.  They truly look forward to eating now.,55596,"Contents are as described, but most of the cans were dented in the case of 12.",By Weruva,Contents are good
Great products.,"I have always provided the best nutrition for my dogs knowing that it saves vet bills in the future if they are fed well.  Both my dogs like the lamb taste of Blue Buffalo.  They eat other kinds of dry food, but Blue Buffalo is their current favorite wet food.",51920,"My dog is picky and doesn't like it, but it;s healthy.",By Blue Buffalo,Picky
My dog loves this,"Rocky is on a limited ingredient diet due to being recently diagnosed with Cushing's.

I mix this canned food with a bit of Greek yogurt into the kibble, and he gobbles it down.

His overall health is much better than it has been in some time.  I am very pleased with the quality of Canidae pet food",51414,"Great food, but 6 of the 12 cans badly dented. I hope threw the really bad ones away for fear it may have been dented enough to break the seal. Otherwise, the food itself is great- worthy of 5 stars.",By CANIDAE,1/2 the case of canned food was significantly dented
Excellent dog food!,"My wife and I took in a special needs beagle puppy (6 weeks old) that someone tossed in a swamp this summer. We came to find out she was born without an butt hole (wont let me use the proper medical word) and was pooping out of her lady parts, needless to say we had a hard time finding food that would",66539,"This did not work out for my diabetic dog, the food is too watery/wet and must be mixed with dry food. But I like the grain free aspect of it. It's still pretty mushy when mixed with dry food.",By Dave's Pet Food,average features
My four dogs love the blue turkey day feast.,I will be buying Blue dog food for now on for my dogs.,85001,"My dogs love Blue Buffalo products, but they were not too crazy about the Turkey Day Feast canned dog food. I bought this around Thanksgiving and added some turkey to it and they ate it but not without the turkey added. I'm not sure what they didn't like about it.",By Blue Buffalo,Turkey Day Feast
Great customer service!!,"Been feeding my 10 year old shepherd/heeler mix Eukanuba dry food for a few years. She has developed an allergy to chicken so had to change her food. Vet recommended dog food made with rabbit or kangaroo!! Found out it's super expensive. Decided to try Nature's Recipe with salmon, sweet potato and pumpkin",121992,"My Border Collie eats it, but then he isn't a fussy eater. The ingredients are all finely ground into a sticky paste that requires a second spoon or a finger to get it off the first spoon. Then it sticks to the second spoon or finger.  It just seems to stick to everything. Since the ingredients are finely",By Eukanuba,Not So Sure About This Stuff
The dogs say they love it!,I have two dogs.  They both gobble this food.  I feel good about feeding it to them because of the high quality ingredients; plus Halo has never been recalled as far I can tell.  My only reason for not giving it five stars is I would prefer it was grain free.,47561,"Not sure why but none of my dogs liked this food. I got the chicken and the beef but for some reason they smell the food, gave me a weird look and walk away. I have 2 morkies under 10 pounds and the female eats anything but this food did not please her at all. I really hope they would like it. I brought",By Halo,My dogs hate the food
Best Canned Dog Food,"If you're looking for a pure, clean, grain-free and minimal ingredients canned dog food, Evanger's Beef is the best.  Our dogs love it and we love that there are only four ingredients -- beef, water, liver and guar gum (thickener).  No preservatives, fillers or anything else you can't even pronounce ",52653,I really like the fact that this food isn't full of a bunch of stuff our pets don't need.  Unfortunately my bulldog didn't care for it.  I wound up having to mix it with her regular can food to get her to eat it - but she was reluctant.,By Evanger's,Seems to be good quality food.
