,price,weight,product_list,maker,brand,rating,review_cnt,foodtexture,id,benefits
10,33.99,9.375,wellness turkey & duck stew with sweet potatoes & cranberries ,Wellness,Wellness,4.9,43,stew,49220," delicious, chunky, slow cooked-classic stew with premium protein from real turkey &amp; duck , slow-cooked to retain natural flavors , vitamins a and e supports healthy eyes , biotin supports the coat and skin , contains no meat byproducts, grains, or fillers "
11,27.44,0.825,royal canin mature adult in gel ,Royal Canin,Royal Canin,4.9,8,pate,99654," made for senior dogs over 5 years , fish oil and b vitamins support skin and coat health , helps stimulate fussy appetites , highly palatable loaf-style meal in sauce , 100% complete and balanced diet "
12,33.99,4.5,"wellness petite entrees mini-filets with roasted beef,carrots & red peppers in gravy grain-free wet dog food",Wellness,Wellness,4.9,23,chunks in gravy,76677," specially formulated to naturally meet the unique needs of small breed dogs , delicious mini-filets using quality ingredients like roasted beef, carrots &amp; red peppers in gravy , contains only premium, all natural ingredients with no wheat, meat by-products, soy or artificial colors and flavors , convenient, easy-open, ready-to-serve container makes mealtime quick and easy , complete and balanced for everyday feeding "
13,21.48,0.825,"nutro adult kitchen classics family dinner with turkey,rice & vegetables ",Nutro,Nutro,4.9,32,pate,86736," promotes healthy skin and a soft, shiny coat to keep your pet looking and feeling robust. , natural dog food offers complete nutrition that is rich in nutrients and full of flavor. , specially crafted to help support healthy digestion so to promote optimal nutrient absorption. , natural ingredients are carefully sourced from their trusted network of farmers and suppliers. , made in the usa with no chicken by-product meal, soy or artificial flavors or preservatives. "
14,34.99,0.825,holistic select chicken pate recipe grain-free ,Holistic Select,Holistic Select,4.9,22,pate,76631," the unique grain-free can recipes provide prebiotic support and feature botanicals such as pumpkin, papaya and pomegranate , features omega 3 fatty acids from flaxseed to help promote a shiny and healthy skin &amp; coat , the botanicals, herbs and premium proteins that are used help deliver optimum, natural nutrition for daily whole-body health , contains chicory root extract to support healthy digestion , made without grains, wheat, soy, corn, artificial colors, flavors or preservatives "
15,11.76,0.825,pedigree choice cuts in gravy steak & vegetable flavor ,Pedigree,Pedigree,,,chunks in gravy,114316," features hearty cuts of real meat in gravy for an irresistible taste of steak and vegetables. , balanced recipe provides complete nutrition and is highly digestible for easy nutrient absorption. , optimal levels of oil and minerals nourish the skin and coat for a luxurious shine. , soft texture adds flavor and variety to dog’s diets. serve it alone or mix it with kibble. , proudly made in the usa with the flavors dogs crave and the nutrition they need. "
16,26.33,0.825,evanger's super premium lamb & rice dinner ,Evanger's,Evanger's,4.6,28,pate,47331," evanger's lamb &amp; rice dinner is formulated to meet the nutritional levels established by the aafco nutrient profiles for all life stages. , this product is certified organic by oregon tilth. this ensures that your pet is getting a quality food that is made with all natural ingredients. , not only does this product offer your pet a variety in taste, this gourmet dinner offers the additional nutritional benefits your pet needs. natural vitamins and minerals are blended with the all-natural meats for ultimate nutrition that are completely balanced meals for all life stages, ages, and breeds. , evanger’s cans are packed with natural, raw ingredients in their own natural juices. the ingredients are then cooked entirely inside the sealed can to lock in the nutrients and flavor of each variety. this process assures both wholesome nutrition for long life and good health, plus the great taste your dog and cat will love. naturally the best! , all evanger’s foods are made with premium-quality, highly-palatable and nutritious ingredients that will satisfy even the most finicky eater. with no soy, corn, wheat, artificial ingredients, harmful additives, preservatives or by-products, evanger’s canned meals are a perfect option for pets that have food sensitivities. "
17,16.99,0.825,blue buffalo wilderness trail trays chicken grill formula grain-free dog food trays,Blue Buffalo,Blue Buffalo,5,3,pate,114237," tasty and natural grain-free food is packed with protein and comes in easy-to-serve trays.  , real, deboned chicken is the first ingredient with added vitamins and minerals. , inspired by the diet of wolves, who are true omnivores with legendary endurance.  , made in the usa with only real ingredients and never any chicken or poultry by-product meals.  , great for allergies with no grains, corn, wheat or soy or artificial preservatives, colors or flavors. "
18,26.99,9.75,dogswell happy hips lamb & sweet potato stew recipe grain-free ,Dogswell,Dogswell,4.7,27,stew,47140," chunks of premium lamb with antioxidant-rich fruits and veggies in a delicious sweet potato stew , made with antioxidant-rich fruits &amp; veggies to support overall health and wellness , features glucosamine and chondroitin to help maintain hip and joint health , made without any grains, corn, wheat, soy, artificial colors, flavors or preservatives , chelated minerals for better nutrient absorption "
19,7.59,0.825,pedigree choice cuts senior morsels in sauce with chicken & rice wet dog food,Pedigree,Pedigree,4.5,6,chunks in gravy,114308," formulated especially for senor dogs to promote healthy joints and mobility. , features juicy, meaty bites soaked in gravy and provides a soft texture for flavor and variety. , great to use as a treat, as a kibble topper for added flavor, or as a complete meal. , optimal levels of oil and minerals nourish the skin and coat for a luxurious shine. , proudly made in the usa with the flavors dogs crave and the nutrition they need. "
20,16.8,5.25,cesar classics pate porterhouse steak flavor dog food trays,Cesar,Cesar,5,11,pate,47085," high quality cuisine that provides unparalleled variety and enjoyment , formula provides complete and balanced nutrition in a pate formulated for adult dogs , fortified with vitamins and minerals to help dogs of all sizes to stay healthy , savory dog food is served in convenient trays with easy, peel-away freshness seals , features delectable delicious steak flavor for dogs with refined tastes at any time of day "
21,15.65,0.825,hill's science diet adult small & toy breed savory chicken & vegetable stew dog food trays,Hill's Science Diet,Hill's,4.2,5,stew,133606," this premium dog food provides ideal levels of high-quality lean protein for building muscle and maintaining ideal body composition. , made without the use or artificial colors and preservatives for a natural, wholesome diet. , available in convenient peel and serve trays that are perfectly sized for small dogs and toy breeds. , contains gentle, high-quality fibers which are designed to aid in proper digestion. , this nutritious formula is ranked veterinarians’ #1 choice to feed their own pets. "
22,31.44,9.9,nature's logic canine turkey feast grain-free ,Nature's Logic,Nature's Logic,4.7,17,minced,94110," all-natural whole food made with nutrient-dense muscle meat and organ meat with concentrates of select fruits and vegetables. , grain-free, gluten-free, and low in carbohydrates made with 90% animal ingredients. , unique source of highly digestible natural eggshell calcium and animal plasma. , highly palatable flavor with high levels of natural vitamins, minerals, and albumin and globulin proteins. , no wheat, corn, rice, soy, potato or chemically synthesized vitamins, minerals, trace nutrients, carrageenan, guar gum, or xantham gum. "
23,29.88,9.75,nulo freestyle salmon & chickpeas recipe grain-free ,Nulo,Nulo,4.9,11,pate,76751," a grain-free formula that contains salmon as it's first ingredient , contains pure probiotic strains to aid in proper digestion , calcium and phosphorus help your dog maintain strong bones while wholesome vegetables and fruits support optimal immune health , amino acids to support lean muscle mass and a healthy heart , made with added essential vitamins like d, b12 and vitamin a "
24,28.68,9.9,health extension meaty mix beef grain-free ,Health Extension,Health Extension,4.8,17,pate,71311," a delicious supplemental recipe containing 98% all natural, premium beef. perfect as a kibble topper! , gluten-free, with no rendered animal fats or by-products, no added sugar, no carrageenan, and no corn, wheat, or soy , super palatable: your pup will go crazy for the taste and texture of this smooth, meaty pate , provides essential moisture to prevent dehydration and help maintain proper urinary tract health , convenient, easy to open pull-tab can makes meal time quick and easy "
25,30.99,9.525,newman's own organics grain-free 95% chicken dinner ,Newman's Own Organics,Newman's Own Organics,4.6,40,pate,59976," a grain-free formula that's suitable for all life stages , first and primary ingredient is a single source of organic protein , this formula is highly palatable and digestible , made without any artificial flavors, colors, preservatives, corn or wheat , certified by oregon tilth for a wholesome meal any pup would enjoy "
26,42.95,10.5,"weruva bed & breakfast with chicken,egg,& pumpkin in gravy grain-free ",Weruva,Weruva,4.7,27,chunks in gravy,55600," gourmet, natural canned dog food with a delicious recipe featuring boneless, skinless, white chicken breast cooked up with pumpkin, sweet potato, eggs and ham in a tasty gravy , all of weruva's dog food formulas are formulated with the carnivore in mind, so this recipe focuses on high quality protein, minimal carbs and a high moisture content for the most nutritious meal around for your pup. , recipe is grain-free, gluten-free and carrageenan-free, so it's ideal for any pups with sensitive tummies or allergies , contains added vitamins and minerals to make this delicious food a complete and balanced diet , suitable for all life stages, can be served as a standalone diet or as a yummy topper for dry food "
27,20.49,0.825,eukanuba adult lamb & rice formula ,Eukanuba,Eukanuba,4.7,13,minced,121994," high-quality lamb protein is easily digestible and provides essential amino acids that help build and maintain strong, lean muscles. , brown rice is a quality carbohydrate source that helps maintain healthy energy levels; whole vegetables add great flavor and natural nutrients. , scientifically advanced for peak performance with an optimal balance of nutrients to promote healthy weight. , rich in antioxidants to help support your dog’s immune system and keep it strong. , can be used as a complete meal or an enticing topper over dry kibble. "
28,23.88,0.825,nutro large breed puppy tender lamb recipe bites in gravy ,Nutro,Nutro,4.8,20,chunks in gravy,86753," complete nutrition for large breed puppies is rich in nutrients and full of flavor. , balanced protein and fat promotes optimal growth and nourishes healthy development. , delicious recipe also supports a soft, shiny coat and healthy skin. , natural ingredients are carefully sourced from a trusted network of farmers and suppliers. , made in the usa with no chicken by-product meal, soy or artificial flavors or preservatives. "
29,23.59,9.75,"natural balance original ultra premium whole body health chicken,salmon & duck formula ",Natural Balance,Natural Balance,4.4,29,pate,48027," a high quality, gluten free diet that’s made with multiple animal protein sources , yucca schidigera extract aids gastrointestinal system and reduces odor in stool , this unique blend of food is highly digestible allowing for maximum nutrient absorption , added vitamins like vitamin a and vitamin b12 help support a healthy immune system , made with antioxidant nutrients and minerals for optimal brain health "
30,15.65,0.825,hill's science diet adult small & toy breed savory beef & vegetable stew dog food trays,Hill's Science Diet,Hill's,5,1,stew,133608," this premium dog food provides ideal levels of high-quality lean protein for building muscle and maintaining ideal body composition. , made without the use or artificial colors and preservatives for a natural, wholesome diet. , available in convenient peel and serve trays that are perfectly sized for small dogs and toy breeds. , contains gentle, high-quality fibers which are designed to aid in proper digestion. , this nutritious formula is ranked veterinarians’ #1 choice to feed their own pets. "
31,28.08,0.825,instinct by nature's variety limited ingredient diet grain-free lamb formula ,Instinct,Instinct,4.8,30,pate,120825," formulated for dogs with food sensitives with one animal protein source and no grain or gluten.  ,  contains the fewest, most essential, easily digestible ingredients.  ,  includes healthy omega-3 and 6 fatty acids for a soft and shiny coat.  ,  delicious loaf provides a complete and balanced diet for all breeds and life stages, including puppy, adult and senior.  ,  made in usa facilities with no grain, gluten, potato, dairy, eggs, chicken, beef or fish.  "
32,30.5,9.525,castor & pollux organix grain-free organic turkey & vegetable recipe adult ,Castor & Pollux,Castor & Pollux,4.9,9,pate,54990," increased calories are great for dogs recovering from illness or injury who need to gain back lost weight , natural turkey is the #1 ingredient, ideal for dogs that prefer the taste of turkey , omega 3 and 6 fatty acids contribute to healthy skin and luxurious coat, and calcium and phosphorus ratio helps support healthy bones and teeth , include minimally processed fruits and vegetables that provide a source of antioxidants and vitamins , made in an organically certified kitchen without corn, wheat, soy, artificial colors or preservatives with probiotics to support digestion "
33,24.99,9.9,eagle pack chicken formula ,Eagle Pack,Eagle Pack,4.7,20,pate,47193," a delicious recipe that provides complete and balanced nutrition for adult dogs and puppies , healthy, wholesome recipe with chicken as the first ingredient, fortified with vitamins and minerals , super palatable: your pup will go crazy for the taste and texture of this smooth pate that provides essential moisture , includes ground flaxseed, rich in omega 3 fatty acids and high in fiber for a range of cardiovascular, endocrine and immune system support, as well as supporting skin and coat health , made in the usa with no artificial colors, flavors, or preservatives "
34,10.8,0.825,purina bella chicken & smoked bacon flavors small breed dog food trays,Purina Bella,Purina,5,5,pate,110767," pate food formulated specifically for the nutritional needs of small dogs. try every flavor! , supports health throughout their longer life expectancy with complete and balanced nutrition. , nutrient-dense recipe helps to support their higher metabolism with high protein for strong muscles. , blend of antioxidants, vitamins and minerals support the immune system and overall health. , tender texture in savory juices is easy for small mouths to chew, in an easy-to-serve and portable tray. "
35,25.41,9.375,hill's science diet adult 7+ youthful vitality chicken & vegetable stew ,Hill's Science Diet,Hill's,5,4,stew,109444," powerful antioxidants support a healthy brain and a desire to interact. , protein, phytonutrients, and l-carnitine help get your dog moving and interested in playing. , vitamins c and e support a healthy immune system. , stew recipe is delicious and the high-quality ingredients are easy to digest. , essential fatty acids help keep the coat soft and shiny. "
36,34.68,9.6,party animal cocolicious 95% wholesome lamb grain-free ,Party Animal,Party Animal,4.9,7,pate,93280," produced with fresh top-quality poultry, seafood and meats, which provides a healthy source of protein for your pet , also use fresh fruits and vegetables such as blueberries, cranberries, zucchini and artichoke to name a few, which are a great source of antioxidants, fiber, vitamins and folic acid , formulated to promote clean nutrition and protection for your pets from exposure to toxins and unhealthy ingredients , made with organic beef, fruits, vegetables, vitamins &amp; minerals for overall wellbeing , no artificial preservatives, colors, flavors, corn, wheat, or soy and made with simple &amp; essential ingredients "
37,30.02,0.825,nutro puppy tender beef & vegetable recipe bites in gravy dog food trays,Nutro,Nutro,4.7,17,stew,86739," complete nutrition for puppies comes in easy-to-serve, mess-free trays. , balanced protein and fat promotes optimal growth and nourishes healthy development. , nutrient-rich and flavorful recipe also supports a soft, shiny coat and healthy skin. , natural ingredients are carefully sourced from a trusted network of farmers and suppliers. , made in the usa with no chicken by-product meal, soy or artificial flavors or preservatives. "
38,31.44,0.825,merrick seasonals howl o’ ween stew grain-free ,Merrick,Merrick,5,3,stew,129172," real, de-boned chicken is the very first ingredient along with fresh peas, sweet potatoes and seasonal pumpkin. , all-natural, grain-free recipe contains no wheat, corn or soy, so it’s easy to digest and great for the pooch with allergies or a sensitive tummy. , formulated with essential vitamins, minerals and nutrients to provide complete and balanced nutrition. , savory stew can be served as a complete delectable holiday meal or delicious topper over his dry kibble to add some festive variety to his diet. , proudly made in merrick’s texas facility using the world’s best locally-sourced ingredients from farmers they know and trust. "
39,21.48,0.825,nutro adult kitchen classics steamed fish & sweet potato dinner ,Nutro,Nutro,4.4,18,pate,86734," fish is a unique, high-quality source of protein that’s not often used in dog food, which makes it less likely to aggravate food sensitivities. ideal for pets who require unique proteins in their diet. , highly digestible carbohydrates, such as nutrient-rich sweet potatoes, are included for all-day energy , formulated with optimal levels of omega-6 fatty acid (linoleic acid) and zinc to promote healthy skin and a shiny coat. help keep your pet keep looking great and robust. , made with absolutely no artificial colors, flavors or preservatives. this is a high quality product that is produced in the manufacturer's own facilities to ensure safety and quality. , nutro's dedicated team of experts tailor their formulas to your pet's life stage and health condition. they only use natural ingredients that they directly buy and can trace back to their suppliers. "
40,24.99,9.9,eagle pack lamb formula ,Eagle Pack,Eagle Pack,4.3,26,pate,47191," a delicious recipe that provides complete and balanced nutrition for adult dogs and puppies , healthy, wholesome recipe with lamb as the first ingredient, fortified with vitamins and minerals , super palatable: your pup will go crazy for the taste and texture of this smooth pate that provides essential moisture , includes ground flaxseed, rich in omega 3 fatty acids and high in fiber for a range of cardiovascular, endocrine and immune system support, as well as supporting skin and coat health , made in the usa with no artificial colors, flavors, or preservatives "
41,4.93,0.825,pedigree chopped ground dinner variety pack featuring bacon wet dog food,Pedigree,Pedigree,4.8,4,minced,123263," variety pack features a hearty chopped texture with an irresistible choice of bacon flavors. , balanced recipe provides complete nutrition and is highly digestible for easy nutrient absorption. , optimal levels of oil and minerals nourish the skin and coat for a luxurious shine. , soft texture adds flavor and variety to dog’s diets. serve it alone or mix it with kibble. , proudly made in the usa with the flavors dogs crave and the nutrition they need. "
42,15.79,0.825,purina one smartblend true instinct classic ground with real beef & wild-caught salmon dog food,Purina ONE,Purina,5,2,minced,135640," grain-free formula with beef as the first ingredient plus salmon for the high-protein diet dogs thrive on. , loaded with vitamins, minerals and antioxidants to support a healthy immune system and overall wellbeing. , high in omega-3 fatty acids to maintain a healthy and lustrous skin and coat. , provides a complete and balanced meal for adults dogs, on its own or as a delicious kibble topper. , made in usa facilities with high-quality ingredients and no grain, corn, wheat, soy, or fillers. "
43,18.72,0.825,merrick lil' plates grain-free surfin' & turfin' supper in gravy dog food trays,Merrick,Merrick,5,3,stew,117163," convenient, single-serve trays designed to offer the right-sized portion for smaller breeds. , rich in animal protein with pieces of real beef and salmon for a taste of both land and sea. , 100% grain-free so it’s easily digestible and perfect for pups with sensitive stomachs. , made without corn, wheat, soy or gluten for a wholesome recipe. , locally sourced farm fresh ingredients in the usa to ensure the highest quality. "
44,38.75,9,evanger's grain-free hand packed roasted whole chicken drummets dinner ,Evanger's,Evanger's,4.5,48,chunks in gravy,47330," grain-free, gluten-free, complete &amp; balanced dinner featuring whole chicken drummets with fresh carrots and peas that your pup is sure to gobble up! , no corn, wheat or soy , made with fresh, natural, premium-quality ingredients , contains real chicken bones that add flavor, texture and are great natural sources of crucial nutrients like calcium, magnesium, phosphorus, and iron. evanger's special slow-cook, pressure-cook process softens the bones so they are splinter-free, easily digestible and edible! not recommended for small dogs. , suitable for all life stages and made in the usa! "
45,10.92,0.825,"alpo prime cuts with beef,bacon & cheese in gravy ,13.2-oz,case of 12",ALPO,ALPO,5,3,chunks in gravy,100052," tender chunks of meat in gravy, every dog will love! , made with high-quality protein sources , contains 25% more protein than the leading canned competitor’s adult dog food , fortified with 23 vitamins and minerals for overall well-being , 100% complete and balanced for adult dogs "
46,20.99,9.75,purina one smartblend true instinct tender cuts in gravy with real turkey & venison ,Purina ONE,Purina,5,7,chunks in gravy,102385," made with turkey, chicken and venison as the top ingredients to satisfy your pup’s true instincts for game protein. , formulated with vitamins, minerals and antioxidants for immune health and overall well-being. , nutrient-dense formula provides a balanced and complete diet for adult dogs of all breeds. , perfect to give on its own or as a delicious kibble topper that’s great for picky eaters. , crafted in usa facilities with no artificial colors, flavors or preservatives and comes in an easy-to-open can. "
47,27.99,9.375,blue buffalo freedom grillers hearty turkey dinner grain-free ,Blue Buffalo,Blue Buffalo,4.9,10,chunks in gravy,75709," wholesome natural ingredients like peas and carrots , chelated minerals boost the immune system and biotin keeps the skin and coat healthy , made without wheat, a common allergy trigger for dogs, great for dogs with sensitive digestive systems , a sensible alternative to less convenient raw diets, which often require additional supplementation to be nutritionally complete , vitamin b12 boosts energy and improves gastrointestinal function "
48,28.99,9.375,blue buffalo family favorite grain-free recipes mom's chicken pie ,Blue Buffalo,Blue Buffalo,4.7,10,stew,84988," vitamin b12 boosts energy , wholesome natural ingredients like peas, carrots and potatoes , chelated minerals boost the immune system and biotin keeps the skin and coat healthy , made without wheat, a common allergy trigger for dogs, great for dogs with sensitive digestive systems , a sensible alternative to less convenient raw diets, which often require additional supplementation to be nutritionally complete "
49,18.72,2.625,merrick lil' plates grain-free teensy turducken in gravy dog food trays,Merrick,Merrick,4.2,4,stew,98915," convenient, single-serve trays for small breeds , #1 ingredient is real deboned turkey , no artificial colors, flavors or preservatives , locally sourced farm fresh ingredients to ensure the highest quality , rich in animal protein and 100% grain-free "
50,21.99,9.9,nature's recipe senior lamb & rice recipe cuts in gravy stew ,Nature's Recipe,Nature's Recipe,4.2,28,stew,59586," highly palatable blend of ingredients in a savory gravy , made with real animal protein and no animal by-product meals , added vitamins like vitamin a and vitamin b12 help support a healthy immune system , no artificial flavors or preservatives , a 100% complete and balanced diet that’s easy to digest for senior dogs "
51,16.8,5.25,cesar classics pate t-bone steak flavor dog food trays,Cesar,Cesar,4.8,13,pate,47086," high quality cuisine that provides unparalleled variety and enjoyment , formula provides complete and balanced nutrition in juices formulated for adult dogs , fortified with vitamins and minerals to help dogs of all sizes to stay healthy , savory dog food is served in convenient trays with easy, peel-away freshness seals , features delectable delicious t-bone steak flavor for dogs with refined tastes at any time of day "
52,9.49,0.825,pedigree choice cuts puppy morsels in sauce with chicken wet dog food,Pedigree,Pedigree,5,5,chunks in gravy,114297," formulated just for puppies to promote strong, healthy teeth and bones. , features juicy, meaty bites soaked in gravy and provides a soft texture for flavor and variety. , great to use as a treat, as a kibble topper for added flavor, or as a complete meal. , optimal levels of oil and minerals nourish the skin and coat for a luxurious shine. , proudly made in the usa with the flavors dogs crave and the nutrition they need. "
53,21.24,9.525,whole earth farms grain-free puppy recipe ,Whole Earth Farms,Whole Earth Farms,4.5,36,pate,73947," the best, healthy ingredients from the earth, mixed into a delicious daily meal , protein rich chicken, blueberries, flavorful rosemary, sage and thyme are just a few of the nutritious ingredients , cooked in america with the earth's best ingredients , no corn, wheat or soy , no ingredients from china "
54,39.99,8.25,blue buffalo wilderness small breed turkey & chicken grill grain-free ,Blue Buffalo,Blue Buffalo,4.7,22,pate,84984," made with the finest natural ingredients, including generous amounts of tasty and nutritious turkey and chicken , made without any grain, a common allergy trigger for dogs , no corn, wheat, soy, chicken/poultry by-product meals, artificial preservatives, colors or flavors , b12 supplement improves gastrointestinal function and flaxseed boosts the immune system , a sensible alternative to less convenient raw diets, which often require additional supplementation to be nutritionally complete "
55,28.99,9.375,blue buffalo family favorite grain-free recipes turducken ,Blue Buffalo,Blue Buffalo,4.6,19,stew,85002," wholesome natural ingredients like carrots and potatoes , chelated minerals boost the immune system and biotin keeps the skin and coat healthy , made without wheat, a common allergy trigger for dogs, great for dogs with sensitive digestive systems , a sensible alternative to less convenient raw diets, which often require additional supplementation to be nutritionally complete , vitamin b12 boosts energy and improves gastrointestinal function "
56,18.72,2.625,merrick lil' plates grain-free petite pot pie in gravy dog food trays,Merrick,Merrick,4.6,18,stew,98909," #1 ingredient is real deboned chicken , grain-free and gluten-free , no artificial colors, flavors or preservatives , locally sourced farm fresh ingredients to ensure the highest quality , easily digestible, convenient and right-sized portions for small breed dogs. "
57,29.61,0.825,evanger's organics cooked chicken grain-free ,Evanger's,Evanger's,4.7,49,pate,60001," a whole dressed organic chicken simmered in natural well water is a wonderful healthy supplement and is naturally gmo, hormone and antibiotic free. , this product is certified organic by oregon tilth. this ensures that your pet is getting a quality food that is made with all natural ingredients. , not only does this product offer your pet a variety in taste, this gourmet dinner offers the additional nutritional benefits your pet needs. natural vitamins and minerals are blended with the all-natural meats for ultimate nutrition that are completely balanced meals for all life stages, ages, and breeds. , evanger’s cans are packed with natural, raw ingredients in their own natural juices. the ingredients are then cooked entirely inside the sealed can to lock in the nutrients and flavor of each variety. this process assures both wholesome nutrition for long life and good health, plus the great taste your dog and cat will love. naturally the best! , all evanger’s foods are made with premium-quality, highly-palatable and nutritious ingredients that will satisfy even the most finicky eater. with no soy, corn, wheat, artificial ingredients, harmful additives, preservatives or by-products, evanger’s canned meals are a perfect option for pets that have food sensitivities. "
58,18.48,9.75,iams proactive health puppy with chicken & rice pate ,Iams,Iams,4.7,14,pate,59828," suitable for puppies 1 to 12 months , a delicious classic pate made with high-quality animal proteins plus vitamins and minerals , wholesome dog food that is formulated with omega fatty acids to promote healthy skin and a soft coat , made with high-quality animal proteins plus vitamins and minerals , contains vitamin e to support a strong immune system "
59,24.99,0.825,dave's pet food restricted bland chicken & rice ,Dave's Pet Food,Dave's Pet Food,4.7,24,pate,136550," specially made for delicate dogs with allergies or food sensitivities who need a less flavorful, limited ingredient diet. , simple chicken and rice recipe is formulated to help calm your pup’s tummy during times of transition; also ideal for the dog prone to stomach upset. , enhanced with vitamins, minerals and nutrients to provide a balanced diet with no artificial flavors or colors and no wheat or wheat-gluten. , can be served as a complete meal or a lip-smacking topper over dry kibble to help entice a picky pup. , proudly made in utah, usa by a dog-loving small business with a passion for quality dog food. "
60,19.99,0.825,blue buffalo wilderness trail tubs red meat stew grain-free dog food trays,Blue Buffalo,Blue Buffalo,4.8,6,stew,114253," tasty and natural grain-free red meat stew steeped in a hearty gravy in easy-to-serve trays. , real, deboned beef is the first ingredient with added vitamins and minerals. , inspired by a naturally wild diet, this protein-rich recipe caters to your dog’s inner carnivore. , made in the usa with only real ingredients and never any chicken or poultry by-product meals. , great for allergies with no grains, corn, wheat or soy or artificial preservatives, colors or flavors. "
