,pos_review_content
14,"Our Golden puppy just stopped eating at 7 months old so we purchased this food to enhance his kibble in hopes he would then be eager to eat. He, once again, LOVED his food and mealtime! He's eating well now and thriving!!"
15,"On a recent trip to Oregon we left our dog's canned food at home.  We stopped in Waterville and they didn't carry the brand of dog food we were using.  We selected the Wild Calling Chicken Coop in a can and our dog loves it. Since we couldn't find it locally we purchased it
online from Chewy. They sent"
16,My dog loves this stuff! I only use a couple of spoon fulls in afternoon as a treat. But he gets so excited when he sees the container come out. He can barely sit still!
17,I needed to return a case of food as our new foster pup had to switch brands. I sent and email - within 15 I had the most amazing response. Chewy credited my card and told me to donate the case of food. Amazing customer service!
18,"These are a little expensive, but perfect for a holistic diet. My Welsh Corgi is on these, and he loves the meat. These are all ground, so keep that in mind when purchasing. They're firm enough to make little wet pill pockets out of, as well.

My vet recommended me this brand, especially if you're "
19,My dog loves loves the taste and I think it has really helped add oils to his dry coat
20,"Jake was getting tired of Turkey, Chicken Liver and Turkey Liver Formula but he loves the Turkey and Duck. We also tried Beef, Salmon, and lamb formulas and he likes them all. Would love to see Wellness back more variety packs so that I didn't have to store some of each flavor."
21,"It is pricey. Actually, I enjoyed the smell if you enjoy salmon."
22,"He was getting fussy with his current food, and is getting older so I wanted to get something for joints as well as grain free.  Tried it and he likes it!  It has small pieces in gravy which he seems to like better than the pate foods."
23,"After my puppies are weaned, I add a small amount of the Cesars Puppy to their dry kibble, they love it! Also I received my order promptly, everything was complete, no issues."
24,Good choice for my dogs with chicken allergy. Food has good amount of protein and lower in fat. We mix with dry salmon grain free kibble.
25,"All my guys (4 Labs) like it..Time will tell. The only thing I am concerned about is will Purina, who just purchased Merrick, change the recipe or use cheaper ingredients...if that happens then all bets are off."
26,My Jenny girl loves it all!!!!! She was switched to this food because she has IBS and perianal fistula. This food has helped a lot!! It has no preservatives or fillers. She now has solid healthy poop!!! I have read many reviews stating that Evangers canned food has a lot of fat but I have yet to feed
27,"My dog loves the food. He runs when I tell him that its time to eat. 
But the can itself was not thought through. There is a little ""ledge"" on the inside of the can. It is there when you open it. Problem with that is that it doesn't let the food slide out cleanly. Without this ledge the food would slide"
28,Have tried SO many different dog foods that would satisfy ALL my dogs.  This one fits the bill.  Tried a variety of flavors and so far they've all been hits!
29,"My picky chi all of a sudden started not to eat her Lotus wet dog food she's been eating for years. I took her to the vet and noticed she lost a significant amount of weight. Being only 3 point something lbs now and ribs sticking out skinny, I was desperate to I frantically went to Whole Foods one desperate"
30,"Poncho is 15 years old, a chihuahua with an attitude and few teeth, was fussy about his food til this meal came along.  He isn't fussy about his food, actually loves it.  Still has an attitude, but not about meals any longer.  Thanks for making this available; it is great!"
31,"Pet Food Direct told me about this food the day after the salesman went in and gave them all samples before he told them what it was.  She said it was good.
I was looking for another brand at the time to get away from the brand I was using that was horrible after a while.  Her description convinced "
32,"We have a rescued greyhound off the track in Florida.  He has ALWAYS been plagued with bad food allergies. Lots of diarrhea, gas, poor skin and coat condition. He did fair on Royal Canin prescription. Then we found Ultra holistic senior after he had a huge amount of dental work. This food is amazing."
33,"My dogs love it. I normally feed the dry kibbles, but when I go on vacation and leave the dogs at the kennel they do not eat and the kennel staff gets worried. So the canned is more appetizing to them and they will eat better when I am away. I also like it if I have to give any medication. Kibble or "
34,"We have been using Chewy for a few years and are very satisfied with the products, service and speedy delivery. Very easy to use and change orders if you so desire and free shipping. 
Thank you Chewy!"
35,My dog who is 12-1/2 yrs old was diagnosed as a diabetic 2+ years ago - I researched many different types of dog food and this one has healthy ingredients plus great taste that she loves.   She does not like dry dog food so that is why I use this brand of canned dog food
36,I feed my toy poodle puppy one heaping tablespoon wet mixed into about 1/4 cup dry lamb limited ingredient kibble.  She has this and water available to eat when she wants and usually finishes the bowl by the end of the day.  She is jumping around early in the morning to come out to the kitchen to eat
37,"My Cavachon puppy is kind of skinny and a picky eater. He would sometimes turn away from Virginia ham treats, premium canned tuna etc. When I presented this stuff he dived right in, and not just the first time, everytime. He loves it . I use it as a topping  to entice him to eat his regular food."
38,"My dog has chronic pancreatitis. I'm always looking for low fat or  relatively low fat foods that don't sacrifice protein that she will actually eat. She loves this! I love that it's organic. I do mix it with a dry, very low fat product. This food makes her dry food palatable and keeps her weight up."
39,"We feed NB, limited ingredient, exclusively to our 4 dogs.  3 FBD's and a Pug, including treats."
40,"Only eat one tsb of a morning mixed one tsb or canned white meat chicken, 1 tsb water soaked kibbles. This is a special breakfast only."
41,Our 17 year old poodle has many allegies and the potato and fish food agrees with her.
42,"I have a lab, GSD, & lab/pyrenees mix & all 3 love Eagle Pack foods.  I feed them the canned food once a week to change up the dry food routine.  They absolutely love all 4 flavors.  Thank you Eagle Pack for making a quality food at an affordable price."
43,I did some research on the top 10 canned foods for senior dogs a while back.  My dog is 16 years old and she had eaten dry dog food all her life but I decided it was time to put some canned food into her diet.   Eagle brand is an excellent quality food and my dog actually nags me that it's feeding time
44,"Bought this for my 5.5 lb puppy and she loves it.  She did not like; the canned food I had bought her before.  This actually looks like real stew, not dog food, and is very moist. Every evening I give her half of the package mixed with kibble, and it is gone within a couple of minutes."
45,Awesome service! Jessie loves the small breed wet line
46,"While my dogs seem to like the flavor, you need to be aware that there are bones in the food.  If you have older dogs, as I do, or they have chewing problems due to teeth being missing, you must break up the bones.  They do break very easily and do not splinter."
47,I am very pleased with the quality of Nature's Recipe food and only with Chewy carried more verities of the Senior or Adult canned dog food.
48,"Chicken & Rice  Delicate Dinner Bland food (with the Beagle); Now is Restricted Diet  Chicken & Rice Delicate Dinner  Canned Dog.  Personally, I prefer the Beagle and it matched the Dry dog food that I feed with this. The new label threw me off at first, and I thought I ordered the wrong food but after"
49,"I have 4 little dogs, all rescues. I feed them only Merrick foods...they love them and their coats are shiny, soft, and healthy. Great quality food!"
50,Mason loves this food ;) Thank you Chewy for always having the best of the best for my dog!
51,I own a German Shepherd and he has had an allergic reaction to most food that I have tried feeding to him. It causes him to itch like crazy. The poor guy was missing fur in places and was miserable. I switched him over to the Blue Buffalo Basics Limited Ingredient dry food for large breed dogs and he
52,This is an absolutely fantastic product. Serving this with a side of veggies guarantees my dogs are getting premium nutrition. It also saves me time & money not having to cook for them every other day.
53,"I add this to his dry food to give a little variety and he absolutely loves it.  However, I thought I'd show you what he did to the box when it came from Chewy today.  I just tell him his food has arrived and he's trying to tear it open!  He KNOWS the good stuff is in there and he's happy!"
54,My dogs love this food - they are a little picky - but not with this brand and this flavor!!!  And you know with Chewy - the cost is great!!!!
55,"I only buy Wellness, but usually just the dry food.  I have two Dobermans 5 and 7 years old and my older dog I think was just getting board with her usual.  So, for a treat I got the can food.  Oh my, they acted like pups again, even whined and cried and jumped up and down for the food to be served.  "
56,"It has chunks in gravy, no strong fishy smell, my hubby and I hate fish and I guess our ""kids"" take after us, they weren't real fond of it but they would eat it. I think it is a good product."
57,My German Shepherd and Miniature Schnauzer do seem to like this food.  I mix it with a high quality dry and top it with the Hunk of Beef which almost always gets their attention.  I will order one more case because of this.  The only problem I have with it is there seems to be more gravy than beef.  
58,"Our dog, Luke, just LOVES the chicken thigh and bone. No problem with getting him to eat and it makes us happy because of it being grain-free! We're going to try another kind, maybe  the vegetable beef, so he has some variety in his meals.
Thanks from happy dog owners and their sweet coon hound!"
59,"My 24-lb terrier mix loves this food - she has had chicken, turkey, turkey/bacon. We buy the grain-free variety and mix it in with her dry food. No stomach upset, licks her bowl clean, very happy dog."
60,"Have used Tripett for years and the dogs start panting and pacing as soon as the can is opened, can't control themselves once they smell it. You'll feel so good serving this because it's absolutely pure and healthy plus it's a nutritious compliment to their diet."
61,"I usually cook for my dogs, but when the pooches need a quick dinner, the limited ingredient stew is a wonderful alternative.  I trust Merrick.  I don't trust many other dog food brands.  The pooches like the taste, too."
62,"This pate mixes up great with dry kibble.  The dogs all seem to like it, and it is Canidae quality you can count on."
63,I have been feeding my almost three year old Shih Tsu Cesar since she was a year old. Cesar is the only wet food she eats. Pate with Turkey is her favorite. She also likes Rosemary Chicken and Pork Tenderloin. I came to Chewy out of desperation to find my dog her favorites and I am here to congratulate
64,"got this food because of high calorie count- 524 To replace Natures Variety @556 that was discontinued.. MIGHT be a little TOO rich in flavor. 1 dog won't eat whole can @ a time-she NEEDS the calories, tho. SEEMS like good food from a good company. I emailed them previously & THEY EMAILED ME BACK :)"
65,"The chicken was a bit more spongy than the Duck I tried first but, this is NOT a watery product!  If you think your going to shake/pour this stuff out of the can...forget it!  It's nice & firm.  You will need a spoon/fork to get the product out of the can.  I like it when the product is more firm...."
66,"We've been trying to find a good food to replace a brand we used to use that changed their formula. Gave this a try and our doxie loves it. It's a pate, but doesn't get overly hard in the fridge, which is nice. It's organic with only healthy ingredients, which is very important to us, and best of all"
67,"My veterinarian wanted me to feed my Golden Retriever Innova Evo grain free beef dog food in connection with dealing with a major health issue.  My Golden Retriever loves the flavor of this wet dog food and gobbles it down.  However, the wet dog food by itself is rather mushy and what you might call "
68,My dogs loved the flavor even my cat chimed in while they were eating and had some.  I love all Weruva products and I see a difference in my dogs with the grain free.  They truly look forward to eating now.
69,"I have always provided the best nutrition for my dogs knowing that it saves vet bills in the future if they are fed well.  Both my dogs like the lamb taste of Blue Buffalo.  They eat other kinds of dry food, but Blue Buffalo is their current favorite wet food."
70,"Rocky is on a limited ingredient diet due to being recently diagnosed with Cushing's.

I mix this canned food with a bit of Greek yogurt into the kibble, and he gobbles it down.

His overall health is much better than it has been in some time.  I am very pleased with the quality of Canidae pet food"
71,"My wife and I took in a special needs beagle puppy (6 weeks old) that someone tossed in a swamp this summer. We came to find out she was born without an butt hole (wont let me use the proper medical word) and was pooping out of her lady parts, needless to say we had a hard time finding food that would"
72,I will be buying Blue dog food for now on for my dogs.
73,"Been feeding my 10 year old shepherd/heeler mix Eukanuba dry food for a few years. She has developed an allergy to chicken so had to change her food. Vet recommended dog food made with rabbit or kangaroo!! Found out it's super expensive. Decided to try Nature's Recipe with salmon, sweet potato and pumpkin"
74,I have two dogs.  They both gobble this food.  I feel good about feeding it to them because of the high quality ingredients; plus Halo has never been recalled as far I can tell.  My only reason for not giving it five stars is I would prefer it was grain free.
75,"If you're looking for a pure, clean, grain-free and minimal ingredients canned dog food, Evanger's Beef is the best.  Our dogs love it and we love that there are only four ingredients -- beef, water, liver and guar gum (thickener).  No preservatives, fillers or anything else you can't even pronounce "
76,"Our senior dog, Myrtle, stopped eating the quality dry food she loved for years, and we switched to this flavor of soft, Wellness food. Although I usually have to coax her to eat with all sorts of treats (I'll do almost anything at this point), she eats this with no prodding. We are 100% satisfied, and"
77,My dogs love this food.  I was in contact with EVO and was informed that they have/are discontinued there canned dog foods.  They will continue with the dry.  Of course it is in stores and will be sold until depleted.  I am surching for a differebt brand.  This was a 5 star on Dog Food Advisor.
78,As a service dog Zeus spends a lot of time on the road with me. Cans are not convienent for a day trip. Plus this size is perfect when testing out if he is going to eat a flavor or not without dealing with a big case of cans. Overall Blue Buffalo Basics Limited ingredients is a great food for a small
79,As usual my boys both clean their bowls enthusiastically! They LOVE this Venison beef formula. I like that the meat chunks are big so I can break them up and get a couple of meals out of one can. There are also fresh veggies that are visible and lots of gravy so it's a great kibble mixer!
80,"I first tried this food on a whim.  My toy poodle is very picky when it comes to eating and normally she will not go anywhere near wet dog food.  But lo and behold, she absolutely loves this food.  I don't know what it is about this food but it is as though this food was made exclusively for her breed"
81,"I normally feed her Newman's own Chicken with Brown rice, but mix it up with other Newman's Own flavors.  My dog really loves the Beef and Liver.  The consistency is a bit more loose than the others.  It mixes well with the dry food."
82,"Sophie is on dry food and often does not eat much because she does not feel well.  I have found that if I mix about 1/6 can of the Pedigree in with her dry food, she tends to eat better."
83,"I add a little warm water to it to get some gravy since it doesn't have any. We also mix it with some dry kibble. They ate it right up. My one dog has bad allergies, both seasonal and chicken, turkey, beef, fish, sweet potatoes and the list goes on so I thought this would be good for her. Still new to"
84,"I have a beagle that will eat ANYTHING and a chi mix that is maddeningly picky. She sniffs the bowls and walks away while the beagle is eating like I never feed her. I mix a small amount with kibble with the beagle, and the Chi mix can't wait til I put her food down now. It's on the expensive side, but"
85,"My dog's favorite brand , in a breakfast flavor.  nice amount in container-1 per meal works great."
86,"I've been an auto customer for two years and love it. Fast, dependable service and always a great selection of food and supplies. My fur kids are happy!"
87,"Have fed Sunny Nutro Lamb and Rice premium loaf canned food for years.  When I saw the lamb and vegetables premium loaf, thought we would try it.  He absolutely loves it and it doesn't have the stinky smell that the lamb and rice has.  Happy dog!"
88,My dogs absolutely love this entree.  They eat it so fast so they must really like the taste.
89,"My dog has a long list of allergies and has been on hypo-allergenic food for years. Recently, his food was discontinued and my vet recommended that I try this brand. I bought the wet food because he can only have white fish and sweet potatoes and it is a hit! He loves the food! I combine it with a dry"
90,"I have 2 German Shepherds.  One of them has had a very sensitive stomach, and Eukanuba dog food causes her less intestinal distress than other dog foods.  I get my dog food from Chewy because of their service.  Local large pet store chains are often out of inventory, they are more expensive, and I have"
91,"My little pom dog was recently diagnosed with early CHF, which can be controlled for now on a ""Senior Diet"".  He loved moist/wet entrees at mealtimes, and when I started him on Purina Pro Plan, he just gulped it up!  I can tell this is one of his favorites, now!  He is so happy at mealtimes, and is acting"
92,"I have two dogs that must eat low-protein, low-phosphorous diets to keep urinalysis numbers in check.  We feed a base of real oats, fruits & vegetables with a rotating protein in controlled amounts (all 'real' food that we actually cook).  But on days where the supply runs out and I don't have the time"
93,Our dog loves this flavor. We also have to give our dog medication twice daily. The size of the chunks of turkey makes it easy to hid the pills. Much easier than peanut butter or pockets.
94,"Evangers is exactly what the can says.
This and Evangers dry kibble (chicken with sweet potato) keeps Oreo healthy and NO MORE bad digestive issues"
95,"Finally, a winner!  My chihuahua-terrier mix is extremely picky. I mix this wet food with her kibble and she practically inhales it."
96,"My little dog loves this food!  The brauts are approx 1/2 inch balls in a light gravy with other veggies. My senior Rattie has teeth issues, so the chunks are too big for her to manage on her own, but I mash it up and she chows down. I tried a few cans out from the the local pet store to make sure she"
97,"I LOVE THIS FOOD!!!!, real chunks of carrots, peas and potatos, He eats it right up, we mix this .25 to .75 with the chicken soup dry food and his coat is shiny he looks healthy and the vet said he is doing good, since he is a boston he still has gas (it will never go away) but this has definitely helped"
98,"The older my dog gets, the more her anxiety takes a toll on her stomach. As a result, I've transitioned her to a limited ingredient option. I supplement the Wellness options with some cooked quinoa (a high-quality grain) and organic turkey and chicken breast. As a result, her digestive issues have gone"
99,My Dog looks forward to her meals! Thank you for ptompt service and great prices.
100,"Maggie loves this stuff!  It is great as a topping for her hard food.  Some reviewers seem disappointed by the contents of the can, which I could see, but I was looking for a stew/gravy topping for Maggie's hard food and this is great for us!  The bones are an added treat.  At first I was concerned but"
101,"every time I have a new foster come in I feed wellness simple and have never had any kind of digestive upsets with the dogs. After they have been here for a week or so I switch to Wellness simple kibble because it is less expensive to feed long term. Every dog I have fostered, young or old, has done "
102,"I mix half a container with half a cup dry food for my puppy (golden retriever) and she absolutely loves it! It doesn't look like your typical ""compressed cat food"", it has healthy looking chunks of meat and there are peas with a little bit of juices. Made in USA and ingredients are phenomenal. No brainer"
103,I cut this into bite size pieces and use them as training treats.  I have used them for my last two puppies and I am currently using them for my new puppy.   They have all absolutely loved them.   It is easier to get their attention when I have these treats. Since it is actually dog food it is better
104,"My two dogs love the Petites. They both weigh under 25 pounds. I just wish they were a bit bigger. I love the food has vegs (carrots, red peppers give is a sweet smell/taste), but not too much. This really appeals flavor wise to my dogs."
105,All 5 of my dogs love Weruva Dog Food.  We have tried every flavor and I have not been disappointed.  It looks good enough to eat.  I have tried many different kinds of dog food and this one beats them all.  The quality of the ingredients are what I love the best.
106,"This is one of the only CARRAGEENAN free products on the market. Banned in human grade food, it has nearly been banned in pet food multiple times. My pup licks her bowl clean now- she used to eat half of her food and leave the rest to snack on hours later."
107,"I have a picky eater, but he LOVES this.  The Chihuahua was out of stock so I got Dachshund.  He loved that as well.
My Chewy deliveries get here so quickly.  So much easier than going store to store collecting food, treats, toys..."
108,mix it in with buffalo dry food 2x/day for our large doggie
109,"Many canned pet foods are dense and sticky like this food. Because I like to use canned food as an appetizer/treat on top of the kibble and to add supplements to, I would prefer something wetter and easier to mix, even out of the fridge. But the pup inhales it."
110,"I bought this for my mini dachshunds based on a review on Dog Food Advisor with 5 star rating.  I am sure this excellent dog food. I am trying different wet food.
This is one.  It may be to much for my dachshunds.  Time will tell.  For sure a bigger dog would have to like it."
111,Meat based canned foods are rarer than I knew.  Great food with a good percentage of actual meat
112,Excellent cuts and appearance/ smell. We use this as a tasty topper her and there just to mix up the proteins. One of the few Wellness Core canned foods that does not contain chicken or poultry (read all labels on other varieties very carefully). Excellent! Highly recommend!
113,"My 18 month Golden Retriever and Labradoodle both love this food we mix it with the kibble. The doodle had quit eating a food for allergy sensitivity as well as stomach sensitivity, I only have to mix a tablespoon of the canned with the kibble and she gobbles it down. This makes the canned food last "
114,Wanted a wet food with pumpkin to help with digestion and the two terriers love it. One tray is enough to feed both of them. Very convenient.  I had a problem with one tray that had leaked and smelled but Chewy sent me a whole case to replace. Great customer service!!
115,We get this wet food on auto delivery and switch up our kind each time. They love a scoop with their kibble!
116,I HAVE 2 DOGS. A BICHON AND A SHITZU. THEY ARE BOTH FINICKY EATERS. I'VE GONE THROUGH SEVERAL BRANDS OF DOG FOOD ( DRY & WET MIXED. JUST DRY IS IGNORED. ) THE DOGS WOULD ONLY EAT A SMALL AMOUNT OF WHAT WAS OFFERED AND LEAVE THE REST. DUE TO ALLERGIES TO THE CHICKEN AND BEEF  MIXES MY VET HAD ME SWITCH
117,This food was recently not in stock at the local pet store in my town.  I was disappointed because this is what we give my 15 1/2 year old Jack Russell to ensure he gets the nutrients he needs.
118,"My male Samoyed, 10 years old, has had his liver compromised.  He is on the  Royale Canine Hepatic diet and I have to be super vigilant that nothing he eats has copper in it.  So I am reading labels for the ingredients and I have switched to supplementing with the Evanger pure Cooked Chicken because "
119,I have a very finicky Akita that can be a problem at meal time. He loves this as well as the turkey and the duck flavors. Doesn't care too much for the salmon or the beef though. We add 1/8 - 1/4 can to his kibble.
120,"All 3 of my babies love Wellness's turkey stew! It has the right ratio of fat to protein for them and gentle on the tummy (not too rich). It does have a little too much gravy, but I don't add all of it to their bowls. Add a little warm water, mash with a fork (for the little ones) and dinner is served"
121,"My chihuahuas love the Earthborn products that I've purchased so far (dry food & the moist), and with Chewy, it's delivered straight to my door quickly - perfect!"
122,"My two rescue dogs, each of whom has severe food allergies, love this product.  They get half can and then kibble later.  It does not smell bad like other venison/duck products, and there are real veggies.  Sometimes they like to just lick off the gravy and then come back later for the rest."
123,"My pit mix has to be on a very LID due to severe food allergies. While she has had no issues with the turkey flavor, she gobbles up the salmon flavor. I have already changed my next autoship to the salmon flavor."
124,My lab mix has allergies.  Chicken is a known to trigger allergies and the Instinct Rabbit has no chicken products in it as well as no grains.  Instinct makes a great product.  Many other dog foods will say Rabbit etc and if you read the ingredients  there is always chicken stuck in there food!
125,If your cat needs extra fluid I highly recommend this. While my cat does not like the beef one he does like the chicken and he needs the extra fluid. The carton states to the discard it after 7 days which I find to be okay since my cat almost finishes the carton within the time frame. I have added it
126,"I have three small dogs; an 11 month Toy Australian Shepherd and 2 senior English toy spaniels.
I have been using a small amount of senior canned food in their Solid Gold wee bites all life stages dry food.
I recently purchased CANIDAE all life stages canned food to mix in. I am so glad  I finally "
127,"The lamb and beef have small bite size squares, just the right size for my shih-tzu.  He loves this food and once again no chicken or byproduct so he does well with this food and his allergies."
128,My dogs love it and I make dog treats out of it. I have made them and given to friends that have dogs and they love the treats I make with it too!
129,Smells good enough to serve for Thanksgiving! Even the cats want it! AND auto-delivery was WONDERFUL!!!
130,My dog soon to be 8yrs old is a really picky shih tzu. Cesar is the only dog food he will eat. Buying from Chewy has so many varieties and so much cheaper than buying from Pet Smart. Love the fast shipping and love having delivered right to my door. Thanks Chewy
131,"My dogs are not puppies, but they do enjoy these very much!  I give it to them in between their dry food feedings and they love it.  Shop with chewy and you get your orders very fast and also at the best price!"
132,Food is expensive however my little senior dog loves it.
133,"I have a senior dog going through medical issues.  I can put her meds  in this food and she licks the bowl clean. The food smells good the ingredients are simple and healthy.  It's a good product. 
Chewy is amazing.  Two day delivery for a good price. I'm sticking with them."
134,I am a big fan of the Weruva wet food products and was getting the cans before switching over to these food pouches. This has the same quality as the cans but more of a pate form. I really like this because its more convenient for my small dog as one can normally lasts for multiple days and requires 
135,"This puppy food was recommended by our vet for our 8-month old puppy, and he loves it.  I am confident in serving it to him knowing that I am giving him food to keep him healthy.  Purina is a great brand."
136,"I originally found out about this product from a dog trainner.  My dogs would be looking at her hand and being obedient.  Since then,  it's a no brainer. I either give it to them as a slice and let them work at it or I cut it up in pieces.  Also, I put meds in a piece and it has never been discovered"
137,"We have two Shih Tzu mix dogs.  It is a bit of a challenge finding a food that they both love.  But the first time they ate this, they both cleaned their bowls in record time!  I love the consistency.  It's not big chunks, but it's not the typical pate that is a hard blob.  This slides out of the can"
138,"I feed my 13 yr old BC/Lab nothing but Blue Buffalo. I supplement with a glucosamine/ omega 3 powder...and other than some arthritis in his spine, he's a very healthy boy. I put about 1/3 of a can of wet with a hearty scoop of dry and Blue Buffalo has so many great wet food choices that I'm able to vary"
139,Unbelieveable!!!  Corky just devours this dog food.  So glad I found it as I was having difficulty getting him to eat the Filet Mignon and Porterhouse Steak ones.  He is 13 and has lost most of his teeth so cannot chew much of anything.  Thanks so much.
140,I would like to cancel this order - my dog isn't eating it as good as she did so I'm choosing the chunky stew wet food to see ig she eats that one.
141,"My dog is allergic to chicken and byproducts. This food is one of the few without chicken. The store where I was getting it wasn't stocking it. I found it on Chewey, ordered it, got it promptly, price was better than in store and no shipping charges. Everybody's very happy!!"
142,My 14 1/2 year old little guy loves this food.  I finally had to take him off hard kibble and put him on canned food.  He wasn't wanting to eat his kibble so I switched to this. I'm sure it's his teeth.  Now he gets canned in the morning and kibble that has soaked in water overnight at dinner - doesn't
143,"My dogs are very picky and if they don't like something, they go on hunger strike. I've tried various expensive foods and they turned they nose up at all of it. I ended up giving it all to a homeless man with a dog. When I got Natures Valley Instinct Beef flavor my dogs had no problem gobbling it up."
144,We feed our dogs the Blue Buffalo dry food line and supplement with a small amount of the Family Favorites line of canned food.  Because of it being like any other stew it is easy to remove small amounts and mix it in with the dry food.  Our dogs love both products.
145,"My Patsy seems to only like dog food that are in this consistency, she is a bit fussy, so glad that there are 3 or 4 varieties that she likes in the Wellness. Chewy's is great, arrives fast and don't have to worry about if the Petstore has it, since they don't carry this in the grocery store."
146,What can I say? The food is mostly turkey and looks good enough for me to eat. My dog loves it. I mix it with dry food twice a day.
147,"I had been cooking my own dog food for my 2 GSDs in crock pots.
When I found this Nutro Ultra I was pleased. It contains all the same ingredients I used in my homemade food. As does the dry Nutro . I mix the two together and my dogs eat it up. So much easier on me than 4 crock pots of food cooking at"
148,"We have always topped our dog's dry food with a little something extra but usually ended up rotating options to keep the dogs interested. Both our grain free, 50lb am staff and our not grain free, 25lb cairn terrier love this salmon topper and have been eating it consistently for weeks now! Both of their"
149,"The chi/beagle is fussy!  Trying to find the right combo of canned foods and kibble has been trying, but I think this one is a keeper.  Although she gets more excited about the ""Wingaling"" dinner, she still is pretty enthused by the chicken thigh stew.  It was a bit disconcerting, at first, to see whole"
150,The beagle I've been caring for has been on a rice and egg diet. He always had loose stool. I bought some of this food for him for hurricane Irma and he LOVES it! And has proper stool!
151,We thought switching our girl Lulu from Merrick's Backcountry Grain Free can food to the Merrick Limited Ingredient Grain Free would be an issue but she loves the Turkey and the Duck just fine. We love the Merrick products because of the quality but also because of the variety! More flavors equals lack
152,My cats can only eat salmon and trout. They are allergic to everything else. My local store stopped carrying this product so I am grateful that Chewy.com carries it! Many local rescues here use Evanger's Salmon for their initially rescued dogs and cats because it is such a high quality product.
153,"I been feeding this brand to our 8 year old Dachshund for years...I take a spoonful, mix with grain free dry food and water and he loves it!!!  The best part, he goes to the bathroom very healthy!!!  That is when you know your feeding them good food!!!!!!"
154,"First time our very cautious, hardheaded girl ate a meal without hesitation, without waiting for enticements, without a very calculating holdout for something better."
155,"Usually, whenever puppies are fed wet food in general sometimes they have liquid poop but this wet food sets the bar for all wet food. After working at SPCA, I have seen the difference wet food can do when added to dry food for a pup or adult dog, Zignature you are awesome! Not once did my puppy have"
156,"I have a senior dog that is on medication twice per day. I have to use different things to give him pills as he is a little picky. ;) I use this pate to give him his pills and he LOVES it! The consistency is easy to hide the pills especially when chillled in the fridge! The ingredients are great, so "
157,Had to find a natural fish based food with reasonable number of calories per can that my Chihuahua would like.  This one has 70 calories less per can and than the Blue Basic version of fish. She loves this food   And seems more satisfied after each meal. I just bought 24 more cans. Price is very good
158,My dog is doing well on this food. Have been unable to reorder but not Chewy's problem. Shipping was great.
159,I got the devastating news that my baby girl Lilly has heart issues. I was told that she would need to be on a special low sodium diet. I found this product and she loves it. She eats it right up. I'm very thankful I found this food and I know it's good for her.
160,Want to thank you for the great food for our dog. She loves it. Also it was shipped very fast. I love dealing with your company.....so does our dog.
161,my dog would not eat anything until he was absolutely starving. this could take a day or two! not any more. he absolutely LOVES Cesar dry and wet food.
162,"My fur baby has food sensitivities and Nutro Lumited Ingredient is the food he tolerates best. I checked out Chewy, found it was cheaper and delivered to my home! The order came on time...."
163,I bought the Rabbit Stew because my 2 terrier mix dogs hunt rabbits in our hay field when I take them out there. They are also great at hunting rodents that come in from harvest time in the fields next door. I use the Rabbit Stew as a topping for the Merrick dry food and they love it!
